Gene_ID,MCF7_ROSA26.KO_DMSO_rep1,MCF7_ROSA26.KO_DMSO_rep2,MCF7_ROSA26.KO_C70_rep1,MCF7_ROSA26.KO_C70_rep2,MCF7_ZBTB7A.KO_DMSO_rep1,MCF7_ZBTB7A.KO_DMSO_rep2,MCF7_ZBTB7A.KO_C70_rep1,MCF7_ZBTB7A.KO_C70_rep2
CCDC87,0.560933,0.29338,0.404919,0.274759,0.5277,0.364556,0.34703,0.323291
PHF16,12.4207,10.7535,14.0591,7.50665,12.8713,12.3985,12.5292,7.06299
SCGB3A2,0,0,0,0,0,0,0,0
SELPLG,0.0268853,0.0281311,0.0119004,0.0223918,0.0206518,0.0361848,0.0302525,0
SPATA5,0.889054,1.24496,1.18842,1.31691,1.20992,1.11294,1.28643,1.37989
CNTN3,0.00560779,0,0.0113447,0,0.00615854,0,0,0
ATF7IP2,4.60786,2.79116,4.87147,4.971,3.24211,3.66141,4.81272,4.79463
DAD1,198.615,203.745,209.048,218.929,220.347,213.475,228.751,215.068
PTPDC1,1.84311,1.61036,1.72024,1.37771,1.46024,1.49399,1.55319,1.52158
IFNG,0,0,0,0,0,0,0,0
C9orf37,5.68479,8.46714,6.59919,8.47915,6.70028,8.7903,8.66499,8.35051
PPARD,4.27548,3.9153,3.54122,3.95119,7.0473,7.05343,6.15632,5.51309
GLRX5,47.8713,51.6053,45.9596,52.605,55.3786,53.0164,49.1795,49.7673
KIAA2022,0.119306,0.007131,0.0529418,0.0244821,0.00249858,0.0043458,0.0349111,0.00587586
KCNH5,0,0,0,0,0,0,0,0
PHLDB3,9.37997,9.19751,11.1665,10.6399,13.8509,12.279,12.5145,11.6377
GNA12,11.9281,7.93017,8.81089,8.45942,8.37157,6.8176,9.44256,7.90514
FBXO17,11.9448,12.1523,11.8219,12.8342,10.525,11.8239,7.48157,10.5353
CTD-3105H18.16,6.28E-08,0.630275,0.784922,0.418286,0.473261,0.331243,6.15E-09,0.347019
MB21D2,2.84684,1.27479,1.91287,1.08831,2.78834,2.30105,1.23516,1.47472
PHACTR3,0,0,0.0142669,0,0,0.0542057,0.018158,0
METRN,48.3946,44.6522,50.1385,52.2244,35.4978,35.9288,47.8498,47.1749
TRIM68,3.739,1.52224,2.93382,1.37249,2.83088,1.52462,0.972462,1.21069
B4GALT3,35.862,32.123,29.3745,28.1348,35.5019,33.9407,33.4308,31.4631
UBE2E1,75.5967,68.6334,81.4212,61.8417,71.7381,61.6476,79.1033,64.6425
DAG1,24.2277,18.9556,20.2419,19.0994,24.5255,20.5913,20.6572,18.9251
CYP8B1,0,0,0,0,0,0,0,0.00923758
DNAJC25,3.83778,3.24307,3.45742,3.71375,3.16201,4.45501,3.44888,2.14329
ELP3,15.7201,10.2108,13.6519,11.1376,9.29223,8.19937,7.77559,6.88491
PHACTR1,0.132592,0.0503569,0.158627,0,0.134734,0.111004,0.337834,0.286567
SAPCD1,1.11806,0.804725,3.25E-15,0.730381,0.0647019,0.93012,0.137546,0.8247
FADS1,5.1129,9.99776,9.6706,12.1046,24.3575,25.4784,32.5562,29.4372
NFRKB,6.40418,7.22431,5.58537,5.45729,8.48986,8.9844,8.18894,6.90646
WWC1,22.1825,20.4001,18.2388,15.9558,23.0729,23.1114,16.8125,17.7095
LRRC8C,0.116557,0.129711,0.14838,0.139344,0.148689,0.136581,0.129947,0.16999
BBOX1,0,0,0,0.0242841,0,0.0196424,0,0.0263681
CMTM4,12.5164,11.8439,10.8084,10.529,11.184,11.849,10.7451,11.0677
ZNF497,2.63731,2.49757,2.48396,2.81092,2.24143,2.29825,1.9342,2.17428
MRPL48,31.9343,38.1702,36.6349,27.5512,27.2682,30.6728,29.1607,30.5912
