Gene_ID,MDAMB436_ROSA26.KO_DMSO_rep1,MDAMB436_ROSA26.KO_DMSO_rep2,MDAMB436_ROSA26.KO_C70_rep1,MDAMB436_ROSA26.KO_C70_rep2,MDAMB436_ZBTB7A.KO_DMSO_rep1,MDAMB436_ZBTB7A.KO_DMSO_rep2,MDAMB436_ZBTB7A.KO_C70_rep1,MDAMB436_ZBTB7A.KO_C70_rep2
CACHD1,4.0051,4.30727,2.8692,3.08533,3.58473,3.47315,3.08457,2.84785
C5orf22,12.3007,14.3517,17.0366,14.8868,13.5442,13.4604,15.411,14.1866
KLHL31,0.0149605,0.0554589,0.0288191,0.0174035,0,0,0,0.0284543
BRIP1,2.96995,2.62336,3.66916,2.96992,2.40935,2.60184,3.05352,3.37551
NUP54,20.1463,17.151,20.6967,17.2198,18.5131,17.0589,20.9032,18.6688
MUM1L1,0.212408,0.115522,0.116153,0.134799,0.156842,0.089287,0.229166,0.166699
RP11-73M18.2,7.54079,6.55292,6.66231,5.55555,7.41675,5.73789,4.41019,7.0469
RP11-817J15.3,0,0,0,0.239023,0,0,0,0
SF3B2,157.699,151.071,157.277,152.343,161.224,157.393,150.901,153.935
ZNF148,8.46915,7.39293,9.14406,7.00286,11.2302,9.97222,5.78488,9.56747
ZNFX1,8.18426,8.76493,10.9757,11.7233,9.82106,8.92976,11.1128,11.7015
KRTAP9-6,0,0,0,0,0,0,0,0
CXorf30,0,0,0,0.0189405,0.0176075,0,0,0
AC004817.1,0,0,0,0,0,0,0,0
CDHR1,0.0516627,0.0868702,0.0394302,0.079396,0.0523625,0.0219876,0.100379,0.018987
EIF2AK2,34.8015,35.5861,44.7957,39.2456,49.8082,39.8852,54.5712,50.6449
FAM47C,0.0272571,0,0,0,0,0,0.0158403,0
TRIM10,0.030339,0,0,0,0,0,0,0
AC007377.1,0,0,0,0,0,0,0,0
ADCK2,11.1025,11.6424,10.7097,10.0106,9.27751,10.6354,10.5989,9.87741
PRSS8,0.556364,0.278174,0.425722,0.305448,0.536052,0.482522,0.492279,0.298308
CTC-512J12.6,1.92E-40,3.36E-105,5.52E-108,4.81E-126,0.0414975,0,0.0187448,1.10073
ZNF621,3.28873,3.07577,2.89358,3.25168,3.27931,2.89122,3.24175,3.55037
TMEM72,0,0,0,0,0,0,0,0
SH3GL3,0.311003,0.120383,0.0787164,0.158021,0.123047,0.156416,0.100026,0.352356
TCF7L1,2.90974,2.99138,3.1449,2.65893,3.28411,4.03795,3.99009,3.82025
MPDU1,89.8869,82.8188,113.961,95.7073,92.8574,100.348,99.3387,102.263
NOSTRIN,0.0414522,0.0401076,0.0238382,0.042394,0,0.0840942,0.0240772,0.08316
GAB4,0,0,0.0203558,0,0,0,0.0205383,0
C12orf54,0,0,0,0,0,0,0,0
AP000867.1,0,0,0,0,0,0,0,0
KRT39,0,0,0,0,0,0,0,0
IBA57-AS1,0.313314,0,0,0,0,0,0,0
CCDC101,9.19982,9.58086,11.045,8.95832,10.6242,10.1604,11.5488,11.1188
GDF5,4.4189,4.40797,3.7858,3.18627,5.81774,5.57826,2.94736,3.19438
GEMIN8,2.01566,2.73985,1.19146,2.4469,2.23719,3.1095,1.0341,2.28949
NUDCD1,13.665,12.8799,14.7657,14.667,13.8482,14.7048,15.3817,14.1003
SOX6,0.1292,0.122393,0.0218012,0.0496707,0.0258043,0.0326813,0.0332749,0.098047
NBPF9,15.6333,15.3805,15.4647,16.5312,14.1197,13.5975,14.2579,13.4075
HIF3A,0.165794,0.0561265,0.130944,0.12312,0.177233,0.167517,0.0911652,0.329012
FYTTD1,12.5987,12.5049,8.41655,12.1511,11.1386,9.58102,8.51805,9.98595
TOMM5,192.444,189.789,220.624,215.554,187.618,178.684,196.801,184.581
VIPR2,2.35631,1.80714,7.24754,6.5296,3.59419,3.53476,7.33199,7.52765
KRT37,0,0,0,0,0,0,0,0
RGPD4,0.197312,0.246952,0.188809,0.17609,0.185356,0.171159,0.187675,0.156939
FARSA,129.816,108.907,146.073,131.229,143.386,113.335,130.245,140.222
CHST10,8.97995,10.3074,9.99882,9.57348,8.77067,9.59687,8.06008,8.48723
GPR107,17.9674,18.9612,17.4792,18.6012,18.1742,17.3357,18.5428,18.3663
CDC42BPB,22.744,22.2234,21.0937,21.648,23.7851,24.1607,21.3758,21.8453
COL4A3BP,14.0267,16.0078,16.0664,15.9346,15.2062,15.9613,15.7096,16.0164
KANK2,30.1542,25.0022,24.9149,26.2777,28.395,31.124,30.054,26.0241
DCTD,45.2148,47.2267,34.7659,43.9505,39.5644,44.5524,38.2279,36.898
GPR110,0.170121,0.173732,0.354414,0.441015,0.296021,0.406322,0.307147,0.257501
MITD1,26.8548,26.1418,30.1552,30.2472,24.3829,24.4133,31.2095,30.7366
GCG,0.0432041,0,0,0,0.046027,0,0.103183,0
LCAT,2.22743,1.21475,1.86467,3.32098,2.30317,2.23777,4.01844,3.39508
PARVA,14.8197,11.3819,10.7559,9.25769,12.8738,12.0459,11.0582,10.4022
TP53TG5,0.114622,0.0619384,0,0,0,0.0650028,0.0665037,0.12862
ALPP,0,0.0167864,0.0177265,0.0534748,0.0662704,0.210436,0.178724,0.17345
AC008060.7,0,0,0,0,0,0,0,0
ECD,33.8871,32.3406,38.5885,35.0363,34.0973,34.2959,39.3487,34.467
NPIPA1,14.7378,10.9312,11.3384,13.1172,12.8539,12.7701,13.0827,13.3533
LILRA1,0,0,0,0,0,0,0,0
GOSR1,15.9969,14.2466,17.631,13.978,17.7519,16.9146,16.1156,15.8569
BZW2,24.3691,24.5136,32.0633,27.2311,26.9934,25.1115,29.0315,31.5056
FARP2,7.40918,8.68118,8.6151,7.91942,8.62118,8.82013,9.6892,9.38977
SLC2A13,1.30983,1.23118,1.16407,1.89469,1.2623,1.30532,1.85577,2.03202
RUFY4,0.0306856,0.0364947,0.0192663,0.0405191,0,0.0174964,0.0178316,0.0197255
ACAP2,6.35511,5.59414,5.18218,7.01543,6.44848,5.48634,5.28497,5.41485
ZNF880,4.56762,2.52278,2.78828,3.34192,4.56113,4.08487,4.57643,4.21599
EIF1AD,38.7181,38.8656,36.8435,33.6698,36.3302,34.0217,37.111,38.3038
DMKN,52.5455,43.2413,66.952,67.0251,41.1761,46.7374,56.4058,58.5199
MRPS28,59.0162,46.1108,51.2373,38.6529,43.0496,37.7784,37.7137,57.5413
NECAP1,16.8595,17.2169,16.1594,15.0146,15.7019,15.5233,16.2224,15.862
AL353354.1,0,0,0,0,0,0,0,0
HSPA9,164.096,157.141,176.828,178.938,161.666,162.498,173.467,168.974
HNRNPH1,357.905,345.711,351.05,355.95,368.352,307.784,328.225,319.561
FBXW11,30.3317,31.1853,30.7805,31.5414,31.3008,32.4181,28.8745,29.2697
ZNF346,7.98601,9.22704,7.68952,8.31441,10.6052,9.4358,8.97643,9.68924
TMEM145,0.193131,0.169376,0.11792,0.098119,0.190632,0.155831,0.169351,0.0958866
STX12,12.6013,14.978,12.3432,14.6042,13.9858,13.1582,14.4633,13.6192
OR6K6,0,0,0,0,0,0,0,0
AFF1,4.9473,5.9145,3.03142,4.16305,6.42582,4.79823,3.66977,4.92304
AC022431.2,0,0,0.107816,0,0,0,0,0
C2orf54,0.126457,0.112329,0.116779,0.0594978,0.246637,0.0868306,0.455186,0.322204
OR10D3,0,0,0,0,0,0,0,0
KRTAP19-3,0,0,0,0,0,0,0,0
ALMS1,4.12879,3.94337,3.69386,3.41564,4.4173,4.27937,4.11896,4.17816
SPRR2F,0,0,0,0,0,0,0,0
APAF1,0.530943,0.621245,0.962898,0.549106,1.06564,0.975535,0.767384,0.697834
YAP1,35.2841,32.0439,30.7804,30.5453,34.1718,34.1469,30.2746,30.9452
DEFB115,0,0,0,0,0,0,0,0
DRG1,42.5221,42.2212,47.625,43.8749,43.5863,44.9274,49.1271,45.7235
RBM48,6.61152,5.97714,7.39254,8.17272,6.49272,7.81014,8.08479,8.005
ANGPT4,0.0297616,0,0,0,0,0,0,0
UBASH3A,0.0561148,0.189957,0.0646138,0.0574394,0.0267055,0,0.0914485,0.063271
ZNF697,5.71805,5.31182,7.80956,7.5382,5.09987,5.30944,7.1171,6.84316
DDX50,22.6686,23.0598,25.9117,24.4493,23.9168,26.3755,26.9206,29.047
TGM6,0,0,0,0,0,0,0,0
SLC12A7,14.0531,13.7243,19.0201,15.3207,18.9786,16.295,19.0973,18.9391
PLEC,78.146,85.2111,77.9115,73.4667,84.1634,73.3173,80.0422,70.7355
ZDHHC11B,0.214623,0.187856,0.371989,0.252999,0.154094,0.0571933,0.361493,0.276951
NDST1,13.3029,13.7886,11.1628,10.6545,15.7006,14.5148,16.1353,13.4201
FAM171A1,6.0507,4.52617,4.39482,3.84838,4.591,6.15282,5.89357,4.20043
DPF2,28.7453,27.2428,30.5358,29.6132,28.9457,30.2122,31.6013,29.1149
WNT6,0.0594834,0.323544,0.136438,0.548022,0.254857,0.64321,0.587311,0.703228
RP11-389E17.1,0,0,0,0,0,0,0,0
MKRN3,3.07572,3.7605,4.09816,3.76334,4.72102,3.52304,4.50461,4.50602
ABCB5,0.0424659,0.040356,0,0.0245466,0,0.0241948,0,0.0478676
FAM60A,34.6952,31.6397,33.5313,36.9221,32.185,34.3207,34.6426,35.3932
ABHD1,0,0,0.587,0.137692,0.128606,0,0,0.276881
IGF1,0,0,0.00665356,0,0,0,0,0
MYLPF,0,0,0,0,0.157662,0,0,0
MTHFD1L,50.6005,56.8326,57.4984,54.3271,53.2797,50.7734,55.3235,51.1848
COPS4,17.0043,19.3242,16.2947,15.6159,18.5156,16.5226,13.4742,14.9176
PLEK,0.0799971,0,0.0368778,0.0556206,0.0172329,0,0.055783,0
CDC20B,0.257282,0.337272,1.02377,0.724018,0.890052,0.417273,1.64969,1.65143
OR10H4,0,0,0,0,0,0,0,0
NFATC4,5.93669,4.1778,7.2553,9.56681,8.38681,9.41909,13.0039,11.2294
GPR137B,6.68031,5.75339,6.54821,8.82128,5.56629,4.67606,6.1078,5.40629
PMF1,53.2741,50.1576,52.8979,46.4277,51.568,52.9291,50.8543,49.9955
DSCR4,0,0,0,0,0,0,0,0
KNTC1,10.2618,9.42963,10.9071,9.3418,10.1356,10.3348,10.6514,10.4649
SGCD,0,0,0,0,0,0,0,0
RP11-315D16.2,0.655462,0.71065,0.186912,6.77E-21,0.420965,5.97E-07,0.8146,1.07E-26
RNGTT,12.2187,11.4399,13.555,12.5093,11.7218,12.2314,14.1834,14.3109
MAGEA11,0.0807483,0.173675,0.183163,0.245308,0.285157,0.116715,0.138784,0
EIF2A,31.1716,29.0919,27.5747,26.3887,26.9849,27.0356,25.928,26.3098
HNRNPU,158.735,154.68,159.131,154.067,156.777,164.402,160.777,158.594
GSDMD,68.9535,73.678,61.1258,59.2703,68.8808,62.8472,53.8824,57.3897
PEBP4,0,0,0,0,0,0,0,0
RALY,103.623,112.9,116.422,119.562,106.682,111.489,111.725,111.85
ANHX,0.0129968,0,0,0,0,0,0,0
SEC14L5,0,0.0288971,0.186532,0.181599,0.0142811,0.0603178,0.03839,0.0149141
C4orf19,0.100905,0.165139,0.435467,0.4148,0.135529,0.0861984,0.440436,0.492198
MED9,4.10687,4.06065,5.21814,4.01729,4.07982,3.95,4.60047,4.06102
CDH13,42.1765,45.5666,36.4176,33.0409,34.3805,28.8984,31.8595,37.5519
LRRC7,0.00655273,0.0379364,0,0.0128448,0.0238728,0.0857698,0.025712,0.012481
PCNP,63.2595,62.3855,57.3787,60.0615,63.4995,62.4525,61.8544,63.8135
ADCY4,0,0.0244094,0.0309629,0,0,0,0.0155951,0.0148669
OR4N2,0,0,0,0,0,0,0,0
TMEM74,0.549705,0.377754,0.298712,0.299978,0.216998,0.197609,0.268864,0.521255
RB1CC1,10.2892,11.7577,9.49963,12.8093,11.569,13.5012,12.4383,12.2602
RASSF7,10.9568,11.798,12.0995,12.6357,10.6408,10.9886,14.9162,13.1748
WDR3,4.2195,3.51082,6.5983,4.34959,4.4243,4.78111,5.73709,4.0739
MSH3,5.72238,5.64104,5.82328,5.87077,5.88584,5.79169,5.24877,5.27833
PDGFRB,0.13915,0.0493225,0.0781989,0.366029,0.17104,0.205936,0.353634,0.169723
USP54,3.39456,3.30841,4.17569,3.00229,3.62206,3.4614,3.81406,3.37456
SLC25A51,7.28961,7.99935,7.75289,6.47645,7.55727,7.6106,9.54905,8.56308
NMBR,0,0,0,0,0,0,0,0
ROPN1B,0,0.0258052,0,0,0,0,0,0
IFT81,3.58726,3.77663,4.19982,3.59268,3.92591,4.23329,4.38211,4.18345
C1orf101,0.0456296,0.0345697,0.0364993,0,0.0162705,0.0180532,0.0530317,0.0343103
OPA3,3.05693,3.13634,3.24651,3.13606,3.31677,2.83681,2.69131,2.81429
AC016722.2,0,0,0,0,0,0,0,0
LTV1,31.6623,31.3205,36.9199,33.2234,32.4971,32.2712,32.581,33.7236
SLC16A10,0.748241,1.34109,0.944936,0.854775,0.915421,1.07079,0.665265,0.81235
MMACHC,3.78392,4.2309,4.55617,4.35065,4.27482,3.84337,3.8636,4.14703
HSP90B1,202.186,211.222,188.958,198.482,201.045,205.471,195.739,201.047
MRC1L1,0.00836693,0.013723,0.0290069,0,0.0186671,0.0356526,0.0486336,0.00944538
TEX15,0.1641,0.22901,0.156688,0.162512,0.230891,0.163981,0.18603,0.208517
RPA1,34.0035,35.9739,34.8557,36.1262,34.1896,34.0211,30.9982,32.2756
POLB,13.2079,11.2928,12.0051,11.3049,10.0948,14.1603,10.4641,11.9893
RPP30,13.9795,14.5694,19.3385,16.3114,15.7483,18.3568,17.2478,16.9154
CST6,0.292809,0.313471,0.765236,0.763577,0.508864,0.550647,0.452354,0.326953
PROB1,0.250126,0.33383,0.400667,0.580248,0.35952,0.26944,0.371471,0.360555
ALG3,21.0284,20.4895,24.1495,21.8742,22.0256,21.7646,20.5405,22.3821
MDH1B,0.0571961,0.121258,0.127864,0.36673,0.252687,0.289725,0.129429,0.323556
EXD1,0.044089,0.0509469,0.0760526,0.0509502,0.245439,0.100468,0.272973,0.626208
BIRC2,9.2011,10.0709,10.1501,10.2205,10.4915,10.1861,12.5045,13.3053
RAG1,0.110375,0.042615,0.0825886,0.0831193,0.00702029,0.0444752,0.098129,0.0733123
HOXC8,1.09427,1.03477,1.46243,1.48633,0.762621,1.1112,1.0237,1.11411
GYS2,0.043468,0,0,0,0.0312319,0,0,0.0163446
EHBP1,16.7774,18.1172,15.7397,18.2334,16.3391,17.3873,15.7543,17.5463
VAV3,2.1908,1.34621,1.26233,1.51269,2.18308,1.65224,1.53447,2.25003
OR52E2,0,0,0,0,0,0,0,0
FRRS1,0.872315,0.951821,1.22167,0.911284,1.03122,0.799526,0.993875,0.967658
EN2,0.728185,0.85313,0.977501,1.02922,0.428293,0.558784,0.923319,1.06055
PNRC2,20.3846,17.1575,20.0138,18.709,19.3857,21.0259,18.0783,18.8332
TMEM79,3.13631,3.30375,3.40308,3.32935,3.54372,3.28202,3.7176,2.90368
MYH11,0.0310396,0.0310795,0.0575836,0.0330609,0.0383957,0.0729856,0.0578093,0.0882263
RPH3AL,1.56817,0.753954,1.5238,3.13287,2.94556,1.6486,1.11494,1.28541
FGF13,4.06568,3.18786,2.9487,3.32245,2.10817,2.98303,5.08894,4.67288
BAIAP2L1,16.7832,18.9127,19.1685,19.1949,15.552,15.3299,17.0444,17.227
MB21D2,2.5113,1.92569,2.88153,3.05308,2.52057,2.46838,2.5618,3.39086
PACS2,8.25537,8.4319,8.43958,7.16431,7.79172,8.2521,9.10008,9.30787
UBE2T,44.2608,38.3329,42.919,44.0428,39.4168,46.9456,41.0196,40.0947
LIN7A,0.0350079,0.084241,0.0323803,0.0244401,0.105966,0.0654481,0.0804683,0.142879
ZNF354B,3.7609,3.14168,3.27151,3.70107,3.68168,3.02399,4.39492,3.39189
FOXA3,0,0,0,0,0,0,0,0.0276773
OR6A2,0,0,0,0,0,0,0,0
C21orf128,0,0,0,0,0,0,0,0
LYRM2,23.8202,19.2863,19.1656,18.2538,22.3944,22.7646,21.3643,18.9224
E2F2,1.66648,2.02264,2.45544,2.34481,1.83657,1.59779,2.61538,2.0506
AKAP8L,23.127,21.0373,22.9695,25.0346,21.4526,22.2157,22.3138,24.9042
SEC11C,20.3382,19.8738,22.4668,22.3015,20.5033,16.4114,22.2345,18.1004
MRM1,2.35061,2.82067,3.21174,4.04416,3.48173,3.13285,4.35691,3.0989
MSMB,0,0,0,0,0,0,0,0
LAMB2,22.0698,23.1143,20.4173,22.3932,27.3173,26.9395,26.5386,27.3786
SUGT1,36.0639,37.129,36.4527,36.6724,34.5458,34.5764,32.5677,35.7741
ARC,2.25268,2.05736,5.48584,5.44045,2.32223,2.19943,5.01556,4.90724
DDX39A,134.38,116.898,150.236,139.47,126.77,123.249,141.091,131.031
GADD45B,10.921,8.81459,12.2996,10.5345,8.50482,8.89839,13.1519,8.92668
TIMM17B,55.2793,53.4165,57.7985,53.6873,49.4272,47.3568,47.4428,54.3057
LRRC58,17.0073,17.4495,17.2205,17.1673,16.2886,17.6019,15.9671,17.2589
UMODL1,0.00820969,0,0,0.0103546,0,0.0203321,0.0207093,0
PCDHA5,0.0383514,3.30E-74,0.0220745,7.44E-75,0.0615343,0.0651993,0.0668397,0.0426177
RNF6,13.1835,11.487,13.6671,14.3973,12.5475,11.6542,14.6019,12.492
PDC,0,0,0,0,0.11807,0,0,0
LRTOMT,1.87416,2.72004,1.55466,2.15509,3.65779,2.42872,1.58341,2.79347
C4orf45,0,0,0,0,0,0,0,0
STK24,104.717,101.141,97.2685,109.301,97.2136,97.0474,98.2009,99.8099
NR5A1,0,0.0319597,0.0168763,0,0,0.107828,0.0680445,0.191867
C1orf229,0.0422217,0.115064,0.0485709,0.0488135,0.0453827,0.0481121,0.0245301,0.0713836
ACTL10,0.14398,0.209125,0.248193,0.55414,0.0515263,0.218674,0.111521,0.324452
EXOC1,14.5816,14.2533,14.7927,13.7993,13.6666,14.1985,15.0219,14.7811
CITED1,0.725805,1.77685,0.918961,1.38677,2.3066,2.43473,4.1335,2.08128
ARHGEF3,4.64519,6.11423,2.62849,3.62205,2.55732,5.8472,4.84545,4.16036
ADAM22,1.88254,1.4717,1.61952,0.704966,1.54371,1.20901,1.20981,1.3037
ZNF579,3.85103,5.54613,4.15161,4.4961,4.01504,3.77669,5.69698,6.3554
APOBEC3A,0.0734979,0,0.0630587,0,0,0.0208797,0.0213302,0.0620055
AP2A1,37.3077,39.5428,34.7501,34.4884,38.3686,38.8769,34.9817,33.1172
EIF4A1,1089.71,1026.05,953.117,969.558,1053.97,1054.49,960.154,897.936
ATP6V1C2,16.9027,17.8944,16.8547,17.5949,17.5023,16.8259,16.2987,18.9113
SLC2A7,0,0,0,0,0,0,0,0
REPS2,0.215362,0.311881,0.212172,0.18529,0.15283,0.503593,0.342729,0.267876
RTP4,0.167043,0.290493,0.306122,0.652984,0.500247,0.380089,0.42682,0.413586
GLIPR1L1,0,0,0,0,0,0,0,0
TRPC7,0,0,0,0,0,0,0,0
HMGN4,18.2246,20.7442,19.1068,20.8362,19.1013,17.9371,19.931,21.0463
METTL21C,0,0,0,0,0,0,0,0
NDUFB8,186.095,174.881,188.777,177.434,178.106,171.604,177.384,166.329
GPR15,0,0,0,0,0.049237,0,0,0
AVPR1A,0,0,0,0,0,0,0,0.129686
RGS18,0,0,0,0,0,0,0,0
LRRC6,3.65198,2.99579,4.19388,3.95264,5.58985,4.41036,5.3902,5.02289
CTXN2,0,0,0,0,0,0,0,0
RAB8B,22.4264,19.7901,21.5527,24.6011,26.2891,24.1195,20.205,28.2327
TDRD10,0.0726069,0.0221709,0.0971582,0.240179,0,0.032131,0.0708867,0.0458443
SLAMF1,0,0,0,0,0,0,0,0
KRTAP1-5,0.0485559,0,0.0553176,0,0,0,0,0.0545442
RPS26,367.355,335.132,348.565,364.154,350.68,331.341,317.838,323.073
TIGD5,5.82221,9.16154,8.11825,9.019,8.46853,8.15005,6.81102,7.46667
PGM1,54.0898,57.0049,41.7697,45.02,53.4131,54.1462,42.5448,41.6231
KLF2,0.724208,1.5778,1.22058,1.81161,1.19212,1.95232,1.82305,1.14236
SMOC1,3.17514,3.28223,3.32033,3.49921,2.66847,2.04241,2.56132,2.43967
AVL9,6.23023,7.62043,6.91136,7.58809,7.31014,7.69191,7.26305,8.34017
CD79B,0,0,0.050664,0,0,0,0,0
GNAO1,3.49518,3.14588,1.73663,3.79961,2.59606,2.8803,3.2098,7.59899
SOWAHA,0.0259602,0.0283543,0.0898519,0.090372,0.125981,0.0888395,0.120696,0.0878689
CTD-2203A3.1,0,0,0,0,0,0,0,0
TUBG2,5.71887,5.7782,5.45434,6.08569,5.23711,6.13164,6.36166,5.43359
TMCO3,24.0184,26.5231,22.8994,25.1674,24.2893,25.3137,25.5743,23.5497
HNRNPC,440.823,410.339,385.473,431.539,429.367,442.032,398.936,409.337
MACROD2,0.70238,0.206253,0.0602158,0.100983,0.0387566,0.710469,0.0504863,0.404445
HPDL,0.609425,0.602986,1.49424,2.10743,0.831483,0.662315,2.47785,2.74536
ZNF57,1.54548,2.36031,4.03998,3.05375,2.14434,2.79955,3.6124,2.74609
VWA7,0.212211,0.112317,0.165162,0.147625,0.154368,0.116773,0.264016,0.186224
IGFBPL1,1.29629,1.05153,2.94796,2.46116,0.572929,0.674146,3.19684,3.75924
MBL2,0,0,0,0,0,0,0,0
RP11-1212A22.4,9.16849,8.686,9.28567,9.42788,11.3054,8.83205,9.87722,9.1265
POLRMT,13.7861,15.6924,15.9317,14.8971,17.1679,17.0846,17.4708,15.2277
ZNF28,5.2776,5.80286,4.36855,6.39253,5.54988,6.85888,5.34711,6.881
MAP2K4,9.22409,8.88204,8.71408,9.42502,9.26249,9.97483,9.1488,9.60821
GRM4,0,0.0197628,0.0625912,0.0209736,0.17726,0,0.0578553,0.0140392
SERTAD2,5.57105,5.52395,5.53357,4.47641,6.45672,6.61615,6.74722,6.56116
PCDHB1,0,0,0,0,0,0.0210295,0,0
ZSCAN18,10.0728,11.243,8.3431,7.26964,11.9199,11.462,11.6481,13.2267
LRRC66,0.0677084,0,0.0312402,0,0.0292005,0.0463383,0.0314789,0.0152774
HOXC9,1.82815,2.39885,2.36954,2.41802,1.60045,1.7031,2.64405,2.31162
MRRF,26.1257,29.7117,29.2309,32.1374,27.7711,28.9621,32.0566,29.0465
SDR16C5,0.0540282,0.0214402,0.155063,0.249199,0.115874,0,0.15692,0.182565
PAGE5,0,0,0,0,0,0,0,0
RPS12,1754.18,1709.15,1682.08,1766.06,1611.43,1594.97,1576.7,1538.41
DUS2,5.96647,6.09008,6.7121,5.39418,6.13064,6.39496,5.472,5.60444
DUT,48.3126,60.3591,58.5704,65.4574,57.1411,60.6797,59.1336,58.3957
RBM27,14.807,13.9273,13.9708,12.2573,13.8045,13.9353,13.3311,14.1477
SLC43A1,1.8319,1.70732,1.60509,1.97412,2.19526,2.08755,2.3002,2.57972
DPF1,2.01824,2.07174,1.57588,1.5294,2.13816,2.18694,3.35013,2.87025
RBM12B,4.82536,5.38817,4.53642,6.46111,3.79784,5.04459,5.35313,6.63075
JRKL,2.04314,2.00446,2.15132,2.197,2.36759,2.00406,2.22001,2.63962
LRRTM3,0.0100622,0,0,0,0,0,0,0
SRPR,39.122,40.7854,42.8641,40.8112,38.6192,38.471,41.147,43.4129
ATXN7,7.36155,7.11548,7.50908,6.97966,6.45013,6.27709,6.53686,5.84023
LCE3C,0,0,0,0,0,0,0,0
SPDYC,0,0,0,0,0,0,0,0
PP13439,0.0473047,0.0344218,0.0181739,0,0.0169855,0,0,0.0355689
NEIL2,9.58122,9.377,10.2343,9.85415,8.4052,9.08346,9.60417,10.827
MROH6,1.329,3.05644,1.74142,3.03098,1.56081,2.63249,2.34073,3.19954
BBS9,1.33236,1.48952,1.34472,1.37798,1.83459,1.82386,1.72979,1.12682
MTCH1,45.1428,45.8721,38.7961,43.721,41.2323,42.7014,38.5619,39.5476
PLSCR2,0,0,0,0,0.0623497,0,0,0
SNPH,1.96678,2.76933,2.09527,2.03942,1.6631,1.94739,1.90792,1.4931
ATP5SL,15.6146,16.3405,15.2603,14.5308,16.1366,15.8931,17.0962,16.8645
C3orf67,3.59472,3.59256,6.58407,6.92075,4.84692,4.4873,6.89776,6.41243
CCDC53,9.54886,7.91038,8.37312,7.88068,10.1647,8.56728,9.48336,9.4107
GSE1,12.1437,12.5953,10.8393,12.1392,15.0727,16.7176,13.975,14.1503
ZNF397,5.05633,4.00786,6.01832,5.54634,4.16979,4.98206,5.74356,5.08723
C9orf152,0.153224,0.0928847,0.0392271,0.0394387,0.0733192,0.116462,0.178068,0.134392
CBS,5.38638,5.07158,7.34544,6.12406,6.38241,6.80112,9.55062,8.48228
CYP4A22,0,0,0,0,0,0,0,0
EMP3,81.3472,75.6427,80.6959,89.9762,81.3085,79.6804,89.7703,83.9046
DMGDH,2.40176,2.84176,2.67492,2.95503,2.92254,3.46601,3.68288,4.09148
ZFYVE20,11.0469,13.6673,13.6007,11.7353,14.3021,12.2473,11.9022,12.7329
TCEB3CL,0,0,0,0,0,0.0160107,0.0102088,0
SLC30A7,4.94373,4.05789,3.76593,4.1427,4.62763,5.22199,4.41892,4.66185
C8orf44,0.539841,1.31026,1.23463,1.78338,1.97479,0.888148,1.10448,1.38895
A2M,0,0.00981227,0,0.0104336,0,0.0307302,0,0.0101312
MRPS24,102.15,98.6294,94.3116,82.6097,87.031,80.4396,71.4728,72.8942
MLKL,8.37718,8.15251,10.8607,10.3627,8.15449,7.87124,9.99313,10.5349
PPWD1,10.1797,8.83848,9.16675,7.9997,8.46132,10.3656,8.43687,9.98182
FGF19,0.0576367,0.0419054,0.0663488,0.177847,0.0206665,0.021898,0.0893022,0.238256
PXDNL,0,0.0104851,0,0,0,0,0,0.0287951
PRCD,0,0,0,0,0,0,0,0
MAGEE1,1.0354,1.28898,0.972639,1.24391,0.792304,0.920269,0.853651,1.05965
RMND5B,25.587,29.6854,24.7665,27.4148,28.1429,29.5242,26.1042,29.7206
ZNF831,0,0,0,0,0,0,0,0
CCDC142,2.27539,2.32624,2.00897,1.56675,2.97828,2.8408,2.43486,2.70405
MYO1B,36.1632,31.6547,27.4312,23.5158,31.5511,31.193,26.9133,26.6665
ICAM2,0.0461156,0.117067,0.242473,0,0.178646,0.157138,0.0658749,0.255015
ZNF493,0.0598088,0.021843,0.202192,0.0584453,0.269269,0.216498,0.416851,0.0563903
ANXA10,0.489842,0.204563,0.215462,0.345911,0.0804626,0.342759,0.131268,0.211919
SLC18A1,0,0,0,0,0,0,0,0
AP000721.4,5.90E-66,1.62E-18,3.41E-114,8.06E-24,1.66E-111,3.57E-67,2.38E-17,1.10E-166
SPDYE3,0.0142214,0.0465849,0.0820008,0.0362848,0.0383222,0,0.0495871,0.072193
IL3RA,0.424688,0.335145,0.409735,0.40579,0.950718,0.866471,1.20502,1.44738
MORC3,10.7031,10.3513,11.822,11.5086,9.84497,9.662,10.8052,11.2736
EFHC1,2.46893,2.73124,2.75481,2.43472,2.5542,3.10285,2.77881,2.84349
CSMD3,0,0.00728107,0,0,0,0,0,0.0262404
HYAL1,0.193731,0.0760991,1.01894,0.180926,0.0800242,0.261042,0.138688,0.291818
ZNF628,3.63636,5.74579,4.05611,5.62327,2.97758,6.36096,4.10045,3.5326
ACTL9,0,0,0,0,0,0,0,0
RP11-371E8.4,6.10E-45,0.324528,0.359962,0.541798,6.53E-18,0.342483,1.10E-24,2.89E-17
OR4M1,0,0,0,0,0,0,0,0
SCML1,7.03379,6.42415,7.39445,8.14725,5.85543,6.16133,6.25128,6.69884
CREB5,3.18327,3.31812,2.96413,2.71312,1.85555,3.09871,3.39283,4.10802
CHN2,1.60088,0.859757,1.26511,0.6394,1.05155,1.02159,0.967325,2.75611
