Gene_ID,T47D_ROSA26.KO_DMSO_rep1,T47D_ROSA26.KO_DMSO_rep2,T47D_ROSA26.KO_C70_rep1,T47D_ROSA26.KO_C70_rep2,T47D_ZBTB7A.KO_DMSO_rep1,T47D_ZBTB7A.KO_DMSO_rep2,T47D_ZBTB7A.KO_C70_rep1,T47D_ZBTB7A.KO_C70_rep2
USP5,27.4194,31.6771,15.4852,22.6033,24.8769,33.1505,17.0802,23.2199
RP11-831H9.11,9.07379e-65,1.78581e-35,2.11073e-62,7.25729e-35,5.08751e-33,1.55489e-92,1.04055e-30,1.74531e-138
AC008267.1,0,0,0.0552249,0,0,0.0572722,0,0
PLA2G4D,0.0118728,0,0,0.0120931,0,0,0.0292208,0.0531993
RP11-867G23.8,1.71047,1.71338,0.459634,1.29791,1.11172,2.00866,1.24858,2.7886
SAMD9,0.419386,0.439391,0.0873848,0.246763,0.189111,0.242419,0.170453,0.191624
SFSWAP,23.3511,21.6595,36.564,21.0509,21.3416,19.8069,19.1283,21.4446
CYP2U1,1.45711,1.16085,0.287733,0.858701,1.00764,0.911096,1.0934,1.09918
AL133373.1,0,0,0,0,0,0,0,0
DNER,0.026388,0.0996454,0,0.0806265,0.0582975,0.0817662,0.0811965,0.0591373
HOXA2,0,0.0483084,0,0.0227665,0.0247238,0,0,0
C1orf174,8.98058,10.1777,5.07491,8.30643,6.6106,7.67667,7.48132,7.86966
SGCG,0,0,0,0,0,0,0,0
GPR149,0,0,0,0,0,0,0,0
MTMR4,8.99534,10.64,1.60836,7.98236,9.28474,9.50314,7.31862,6.45796
SCAI,2.3732,2.26917,0.920055,1.93426,2.72156,2.1679,3.06292,2.03426
GIMAP1,0,0,0,0,0,0,0,0
MGAM,0.00621925,0.00469285,0.00537707,0.00633697,0,0,0,0.00486862
RP3-422G23.4,0,0,0,0,0,0,0,0
TRMT13,5.88907,5.27777,2.57863,5.9793,5.33627,4.91165,4.87277,7.49988
MGC4294,0,0,0,0,0,0,0,0
RIPPLY3,1.36432,1.27518,7.62887,1.63764,1.6654,2.46516,2.65934,2.28544
C16orf87,4.19121,3.88523,7.53236,4.73222,4.91288,4.12354,4.29251,3.86041
