Gene_ID,SUM149_DMSO_day2_rep1,SUM149_DMSO_day2_rep2,SUM149_DMSO_day2_rep3,SUM149_C70_day2_rep2,SUM149_C70_day2_rep3,SUM149_DMSO_day7_rep1,SUM149_DMSO_day7_rep2,SUM149_DMSO_day7_rep3,SUM149_C70_day7_rep1,SUM149_C70_day7_rep2,SUM149_C70_day7_rep3,SUM149CR_DMSO_day2_rep1,SUM149CR_DMSO_day2_rep2,SUM149CR_DMSO_day2_rep3,SUM149CR_C70_day2_rep1,SUM149CR_C70_day2_rep2,SUM149CR_C70_day2_rep3,SUM149CR_DMSO_day7_rep1,SUM149CR_DMSO_day7_rep2,SUM149CR_DMSO_day7_rep3,SUM149CR_C70_day7_rep1,SUM149CR_C70_day7_rep2,SUM149CR_C70_day7_rep3
GPR158,0,0,0.00369681,0,0,0,0,0,0,0.00638598,0.00436821,0,0,0,0,0,0.002468,0,0,0,0,0,0
ADAM30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUPT3H,4.00864,3.40923,5.92305,3.12086,3.40759,4.20566,4.5884,4.87856,3.70585,3.26883,2.91947,3.31319,3.47634,2.6766,2.65065,3.96723,3.89493,5.49141,4.00592,3.8004,2.5493,3.25981,2.31151
HSD17B14,0.0780781,0,0,0,0,0,0.032005,0.0750024,0,0,0,0.12946,0,0,0,0,0,0,0,0.0873624,0.0213222,0,0.130098
USP17L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14orf180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RGS5,0.822425,0.378042,0.845307,0.378226,0.434052,0.652656,0.781203,0.367241,0.116271,0.258861,0.223848,0.311591,0.244797,0.862843,0.760316,0.389015,0.579914,0.526911,0.376276,0.494351,0.497461,0.756914,0.310005
QPRT,0.0733724,0.0666365,0.156671,0.0222042,0.149447,0.131609,0.0336998,0.213601,0.0302201,0.121175,0.0563752,0,0.0622959,0,0,0.0128478,0,0.0228,0.0481731,0,0,0.0828715,0
ZNF358,11.1549,13.8192,13.9164,13.7254,20.8189,14.7086,13.1874,13.8465,13.3936,13.9248,10.3102,15.0904,12.3198,14.5281,11.8591,10.0293,14.2573,18.4734,15.1475,13.3541,11.4621,12.9508,12.5565
SNRPD1,85.7698,88.7865,77.2564,92.384,70.276,84.6504,91.7402,90.268,89.9798,74.2546,79.6015,80.3106,83.2751,68.6416,80.4514,99.2196,84.8585,82.3339,79.7866,83.7209,83.2545,70.8578,88.0427
ECHDC2,3.37974,2.43066,2.68443,2.23713,2.78005,3.72019,3.05956,3.88265,3.69086,2.79837,4.10682,2.51623,2.68576,2.54722,2.24707,2.14107,1.8133,4.31914,2.7989,3.96095,2.06658,3.21197,3.1832
USP34,18.2943,20.533,20.3911,20.6861,14.9927,25.1022,20.5641,18.6554,21.5669,17.8993,18.1753,16.232,20.291,16.1583,18.7874,18.9799,19.6731,21.5507,18.182,20.5799,18.997,17.9783,20.3729
TRIM67,0,0,0.00273159,0.0025441,0.00798492,0,0,0,0,0,0,0,0.00217148,0,0.00281192,0,0,0,0,0,0,0,0
EFCAB1,0.0661573,0.0500609,0.0417793,0.0387635,0.0770882,0.0146896,0.0522583,0.163064,0.109566,0.057048,0.0796483,0.0214522,0.0493108,0.0671633,0.0554429,0.0765026,0.0370142,0.039782,0.0831073,0.0418038,0.0652656,0.0145649,0.0537628
FGF11,0.345384,0.322041,0.542582,0.335546,0.539863,0.392159,0.430071,0.383417,0.315168,0.439709,0.381478,0.24265,0.31414,0.335875,0.259898,0.266894,0.160226,0.447275,0.383577,0.412005,0.272427,0.440472,0.275045
RHEB,61.8685,65.1433,60.5839,72.8276,58.3237,68.2311,64.9096,73.2057,76.1217,69.8511,77.4192,82.0856,78.3156,66.3142,86.6886,90.6309,84.341,78.4844,73.055,82.8837,86.2093,72.2927,101.724
PLVAP,0,0,0,0,0,0,0,0,0,0,0.0143569,0,0,0,0,0,0,0.011612,0,0,0,0,0
OR10H4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSM14A,43.247,44.0683,50.0514,46.0486,56.1158,49.0274,46.8401,42.2023,40.3705,42.8587,39.9574,44.9327,44.1506,49.248,42.4161,48.5167,55.0044,45.5544,47.173,42.2695,44.8141,43.0377,48.5454
GNPTG,6.91644,6.2444,6.77942,6.33052,7.68699,6.1989,6.01367,7.62503,6.16363,6.41636,6.32775,6.39543,7.42328,6.13196,7.29492,5.13668,5.1366,7.97135,6.352,7.23848,6.68157,6.15511,6.69894
CENPJ,7.44158,6.73545,8.28028,5.88505,6.08273,10.0279,7.68298,8.71537,6.21939,6.31571,7.27239,7.73814,6.48513,7.62877,8.77968,7.1295,7.80556,10.4108,8.49462,9.2008,9.09251,9.54986,7.20203
RP11-65D24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
