Gene_ID,SUM149_DMSO_day2_rep1,SUM149_DMSO_day2_rep2,SUM149_DMSO_day2_rep3,SUM149_C70_day2_rep2,SUM149_C70_day2_rep3,SUM149_DMSO_day7_rep1,SUM149_DMSO_day7_rep2,SUM149_DMSO_day7_rep3,SUM149_C70_day7_rep1,SUM149_C70_day7_rep2,SUM149_C70_day7_rep3,SUM149CR_DMSO_day2_rep1,SUM149CR_DMSO_day2_rep2,SUM149CR_DMSO_day2_rep3,SUM149CR_C70_day2_rep1,SUM149CR_C70_day2_rep2,SUM149CR_C70_day2_rep3,SUM149CR_DMSO_day7_rep1,SUM149CR_DMSO_day7_rep2,SUM149CR_DMSO_day7_rep3,SUM149CR_C70_day7_rep1,SUM149CR_C70_day7_rep2,SUM149CR_C70_day7_rep3
ERMP1,27.7494,27.0232,34.5238,23.3414,28.5196,34.1979,33.0988,33.7098,27.0149,28.1771,24.9884,29.9735,29.2103,31.976,26.9904,25.6785,33.1186,42.158,35.8718,37.5526,28.0553,28.743,33.9856
ZHX2,4.45817,4.16137,4.80411,5.28449,6.17799,4.6289,5.48371,4.30237,5.44911,7.05466,5.70658,4.1008,3.28081,4.29223,4.20351,4.28357,5.55694,3.55259,4.14203,3.29231,4.10762,4.73808,4.13527
CPEB1,0,0,0,0,0.00897289,0,0,0,0,0,0.00895955,0,0,0,0,0,0,0,0,0,0.00637965,0,0
SEPSECS,2.37782,2.38124,3.03061,1.89601,2.28063,2.90023,3.09671,2.83961,2.07989,1.89487,2.40448,2.49116,2.53038,2.71396,2.01437,1.71286,2.25827,2.95479,2.41661,2.53226,2.02239,1.84829,1.9979
OR4F21,0,0.00789951,0,0,0.0398617,0,0,0,0,0,0,0,0,0.00905745,0.0087542,0,0,0,0.00588003,0,0.00709044,0,0
NLGN4X,0.0468483,0.0689967,0.0620297,0.0428678,0.0495407,0.045481,0.0690747,0.0584334,0.0465263,0.0531758,0.0923311,0.193693,0.304472,0.189177,0.278268,0.215049,0.261703,0.329734,0.219228,0.288601,0.34734,0.196338,0.334274
TCTN3,12.84,12.9103,14.1055,12.0567,13.2696,12.7435,12.2058,13.2081,11.8661,10.7466,10.4258,14.3053,14.3187,11.6284,12.684,13.2908,13.406,16.0045,14.6203,14.2222,12.7715,12.4221,14.0699
AP1S2,8.92461,8.84118,8.5666,9.53814,7.89138,9.48205,8.87819,8.08891,7.7376,7.63487,6.16515,8.15782,6.19393,5.27267,7.2824,6.73512,7.12193,6.38551,6.11436,6.07217,5.85527,6.53427,5.82757
ZNF841,2.97627,3.13408,3.08498,2.55831,1.97008,2.82521,3.17114,2.97693,2.78749,3.22136,3.86219,2.55484,2.07556,2.55083,2.78457,1.80885,2.36124,2.4853,2.85422,4.06877,1.9483,2.60666,1.98598
SSH2,6.98194,7.96465,9.86904,6.87469,8.51911,8.49964,7.78486,7.00834,8.25439,9.47459,7.94508,7.59898,7.00997,8.16248,7.9311,6.50976,7.89465,6.22603,7.36245,8.24022,7.70334,7.77294,11.6445
ARHGEF35,6.57216,7.13901,7.59511,7.34134,6.90884,7.22219,8.51914,7.62016,7.65768,9.17221,8.37593,7.29652,7.38742,9.23376,7.86157,7.56189,10.5674,6.81187,8.79122,8.23758,7.24907,8.95465,9.1136
DHCR24,181.81,197.868,191.845,214.745,205.459,195.681,186.576,214.715,212.597,191.788,197.053,202.137,205.161,180.541,200.78,202.745,188.962,220.943,197.348,205.149,209.91,188.131,230.353
RBM19,8.16906,7.86226,8.16755,8.68829,8.72969,6.11096,8.31314,5.66745,6.56416,9.30165,7.12464,7.68376,7.60168,8.25066,7.27815,7.40468,8.17265,5.72943,8.76451,7.10826,6.76423,8.98042,7.03076
YME1L1,31.9872,32.2272,32.3365,33.4748,28.451,34.4966,37.939,31.4587,34.9038,40.5107,32.939,31.4399,33.9043,33.1784,30.4051,35.7461,39.3566,32.1594,33.4,31.181,32.5204,32.1378,37.6228
EIF3E,216.571,211.071,203.336,232.782,175.323,225.826,192.588,220.393,214.046,194.775,200.357,238.014,226.168,179.824,237.429,267.526,230.499,297.015,210.808,228.791,236.994,195.583,254.557
DAD1,73.0401,73.8536,66.3482,72.2236,68.7062,74.3493,64.2671,74.329,62.7336,62.6622,59.6612,72.643,73.3859,60.6685,71.5142,65.9535,63.4117,83.8548,65.8206,70.6376,71.6084,57.9031,79.9352
PAN2,7.01157,5.78569,6.60293,4.25035,5.05677,7.26602,5.85521,7.36801,5.55989,4.8035,5.51295,7.77514,6.74635,7.28331,7.36487,4.81451,4.34102,10.4601,7.56788,9.03515,6.73536,8.17227,4.76553
FAM73B,7.52381,7.21213,6.28621,6.103,6.50791,5.76336,6.10986,7.04348,5.08864,5.18096,5.84127,7.03199,6.73219,6.43711,7.11717,5.0362,4.7341,7.31088,6.36441,6.52837,6.64309,6.68332,5.75897
NKX2-1,0,0.0399982,0.0216734,0,0,0,0,0,0.0108912,0.0294074,0,0,0,0,0,0,0,0,0.0149484,0.0134775,0,0,0.0184219
ECHDC1,45.3294,48.7795,51.2629,53.3175,46.4812,56.3301,51.5212,52.5971,54.0154,53.901,50.6735,54.7177,53.4855,47.9955,49.5567,58.1126,57.2773,64.3691,52.1248,54.3924,51.1677,50.297,60.8848
SCAMP5,1.93481,2.10369,2.50863,2.31997,2.68286,2.00921,1.93982,2.50858,2.36795,2.39808,2.68912,2.10205,2.10242,2.39729,2.16558,2.75918,2.66195,2.91612,2.2762,2.44889,2.71823,2.72133,3.88611
TTLL8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCMH1,8.11717,8.90237,10.3346,8.78719,11.3233,9.22731,8.727,9.96333,8.55351,7.69479,7.99567,8.58038,9.84655,9.57667,9.16479,8.93275,9.99098,9.76614,9.67853,10.0628,10.1241,10.0848,9.79207
MYO9A,2.39791,2.36154,2.37575,2.58345,1.77654,3.2147,2.48573,2.60069,2.41141,2.23634,1.82265,2.31473,3.00321,2.52289,2.24488,2.51097,2.96655,2.88263,3.36717,2.51533,2.07851,2.14737,2.79316
HBA2,2.42527,2.39795,2.06577,3.64606,3.9147,1.76492,2.79039,2.07415,4.12226,5.55319,3.2134,8.76048,8.09376,9.88684,12.1442,10.4851,10.7851,4.45581,7.86749,4.24521,10.1061,11.1424,9.03674
CCBL2,12.7365,12.9805,13.9412,14.5772,12.502,15.83,12.3738,16.1071,14.9973,12.9556,13.0806,14.2336,13.1835,11.1374,13.9842,14.0018,14.6786,15.8369,11.602,15.1359,13.2249,10.6246,16.9535
TMEM248,49.734,52.8333,53.7507,58.5696,56.6165,48.1714,61.1488,58.5177,53.2419,58.7869,58.2982,54.2996,51.4781,46.4791,48.9172,52.9643,55.7314,50.8032,53.7867,54.3048,53.1972,54.7321,57.0911
PRR11,45.2226,40.9189,49.3594,49.1377,44.4656,46.3362,48.4115,50.5605,46.7766,46.0412,47.0226,45.5375,41.5908,42.2618,45.2548,49.4555,58.5384,43.5658,53.8603,52.6818,45.7589,46.8541,54.0398
RGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSMD1,0,0,0,0,0,0,0,0,0,0,0.00273863,0,0,0,0,0,0,0,0,0,0,0,0
ATCAY,0,0,0.0188077,0.00479616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAK,17.8917,18.6583,21.5353,19.5773,35.6076,17.0542,19.799,18.9863,17.524,22.8784,17.0927,17.4982,18.1677,19.9657,17.6964,15.6511,19.7777,18.7019,20.3041,17.8917,17.2733,21.6308,19.9512
APOL4,0,0,0,0.00778837,0,0,0,0,0,0,0,0,0,0,0,0,0.0489138,0.016012,0,0.00875627,0,0,0.0192749
RNF20,17.627,17.6688,19.8235,16.0002,15.6566,17.1052,20.452,17.6692,15.0767,21.584,17.8567,16.2511,16.722,18.0709,16.7129,18.5439,19.6541,17.0066,19.2182,15.1855,14.4053,14.4734,16.0457
LSM4,125.82,132.443,134.089,146.132,177.808,112.23,121.899,136.776,119.064,124.756,114.727,137.438,143.15,122.215,135.879,124.759,129.295,143.085,140.265,132.087,134.413,142.268,147.359
LST3,9.70E-09,3.77E-09,0,5.26E-08,5.71E-08,0,0,0,3.18E-08,0,5.14E-08,0,0,0,0,0,0,0,0,0,0,0,0
FKBP1B,0.287953,0.380865,0.591171,0.294233,0.45654,0.283506,0.280759,0.337704,0.195098,0.271568,0.171191,0.307263,0.464263,0.230743,0.397343,0.393986,0.256152,0.460177,0.48631,0.294362,0.588748,0.393667,0.539411
TLR6,1.01398,0.923975,0.903711,1.41027,0.893441,1.42158,0.964057,1.36829,2.54711,1.90743,2.74115,1.16442,1.03987,0.882905,1.38166,1.65748,1.49597,1.55427,0.934791,1.33916,1.65756,1.79022,1.98684
PRKAA2,2.48468,2.00805,3.09385,1.70582,2.65594,3.11725,2.78883,2.32165,2.04464,2.01454,1.65137,2.06586,1.86192,2.23733,2.01576,1.81124,2.58845,2.63742,2.5237,2.24084,2.17522,1.96319,1.91663
SRD5A1,3.84025,4.28397,4.24907,4.39318,5.32025,3.46367,4.71862,3.73718,4.00624,4.4905,3.97555,3.90429,3.97325,3.66963,3.63752,3.48422,4.2361,3.07647,3.48313,4.05664,3.1723,3.88225,4.07379
PHF7,0.362136,0.481403,0.586634,0.383554,0.658963,0.476215,0.613122,0.73212,0.492252,0.699079,0.705663,0.678025,0.671582,0.635568,0.575919,0.730696,0.766477,0.431796,0.826762,0.797332,0.654783,0.881264,0.683099
HOXB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTBL2,0.190345,0.455527,0.245665,0.228251,0.231897,0.311177,0.231125,0.192138,0.240511,0.194613,0.127484,0.136632,0.132314,0.0833661,0.0504445,0.179686,0.0981261,0.0562835,0.109384,0.102586,0.0577104,0.072064,0.0828164
CD8A,0.531878,0.375769,0.727618,0.930287,1.15342,0.628881,0.666755,0.922124,1.1332,1.2238,1.33793,1.01889,1.1399,1.06346,1.40708,1.3579,1.59227,1.17545,0.956635,0.877452,1.61651,1.75803,1.88055
GNA12,14.6701,15.6214,18.1567,17.2277,19.2119,14.1445,18.2887,16.8689,17.0197,18.5449,14.3308,14.8923,14.4159,16.7485,15.632,15.0561,17.7887,14.5576,17.0501,14.8839,14.8527,16.3263,16.1266
FAM169B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRSS12,5.35087,5.09786,7.29851,6.46665,10.254,7.48247,6.42473,8.06797,8.40477,7.98695,8.18811,8.00807,7.61117,9.34175,8.06607,8.54422,10.8352,9.02614,7.60492,8.62605,9.27206,10.4237,11.1475
ECE2,11.3728,9.8728,10.4674,11.5942,15.7538,8.72849,10.5091,9.7591,10.116,11.2217,8.16446,10.6803,10.46,9.03286,9.64181,9.68084,10.1099,7.43759,10.8023,8.70241,9.98349,11.1048,11.117
ADAM20,0.0100023,0.00909613,0,0.0364623,0.0115765,0,0.00923042,0.035969,0.00828042,0.0168961,0.0231423,0.00757867,0.0155418,0,0,0,0.00653139,0.0280973,0,0.0102424,0.00823134,0.0205571,0.0150337
SEC24D,3.13424,1.75041,3.27445,2.25691,3.50418,3.39093,3.44876,3.37701,2.8265,4.22879,3.11425,3.28063,2.37741,2.65897,2.4111,1.94503,3.06694,3.23463,2.63096,2.85485,2.5436,2.79474,2.36183
GPBP1,20.8857,19.5372,22.9903,20.4922,16.8507,21.4874,22.4114,20.3908,21.7808,21.8263,22.7204,21.0242,18.7891,19.7973,21.1059,22.0105,24.9206,19.5273,22.5286,20.5224,20.9635,21.2106,22.5362
AP000867.1,0,0.00707734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF2A,78.934,88.2909,96.4306,99.0323,76.1304,93.8017,88.4788,97.4269,86.7698,89.2368,89.4154,91.1564,97.1389,87.8981,91.6138,106.769,119.068,117.314,99.6252,95.422,96.0469,91.2449,108.168
IPO11,12.9343,13.9349,15.88,12.8366,17.021,12.3327,16.0259,12.0238,12.6134,15.4757,11.8795,14.4366,14.4295,16.2879,13.5332,15.7343,18.9809,11.316,17.2287,11.5183,13.191,15.8985,15.3773
ZSCAN31,2.59609,2.20372,2.16885,2.40131,1.55133,2.35776,2.18759,2.46972,2.34147,2.61882,1.89771,2.92614,3.12043,2.56425,4.03096,3.98226,2.39099,3.35546,3.10539,3.05779,2.90021,2.34557,3.08918
NOL11,29.4475,29.5707,30.6657,32.8957,26.1771,26.0479,32.4796,24.3273,29.2514,31.5379,27.958,28.5628,27.9209,27.0093,27.431,34.2136,35.492,22.7164,29.9552,24.9964,26.481,29.1448,29.2586
HOOK2,15.3707,13.3104,12.5967,9.92759,13.378,17.0669,12.8105,11.9076,11.8818,11.7032,15.3807,16.0881,14.2232,14.6635,13.695,10.3862,9.79993,16.8975,16.8046,17.2953,15.7775,16.7193,8.73587
AL356356.1,0.90052,0.536203,0.885815,0.396169,0.434999,0.967965,0.618527,0.706703,0.540743,0.373274,0.511882,0.941289,0.813793,1.00578,0.874347,0.379878,0.342108,1.65404,0.895927,1.35562,1.30466,0.908747,0.5288
SPAM1,0,0,0,0.0468869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013891,0,0.0151822,0,0,0
CCND1,66.0303,65.0184,67.5705,88.2709,91.2858,52.5906,81.6384,61.972,83.7268,99.5499,90.5268,41.6335,39.65,50.3432,50.2504,52.2835,66.0576,25.0256,47.1252,44.7231,48.6451,60.0354,65.2291
SNAPC5,13.3494,11.4251,11.6258,13.5672,11.6122,12.7669,11.2459,12.4915,13.118,13.3175,13.5517,14.6622,13.8959,15.0489,17.3101,16.0223,17.767,14.0163,14.2065,16.7622,15.4207,17.2011,21.1179
MFAP3,9.57835,9.12028,8.39397,7.88278,5.89784,9.2105,8.32226,8.97778,8.22933,8.28738,7.68282,9.89558,7.88093,7.01741,8.96279,8.85283,7.68053,9.42473,9.07689,8.15885,8.74567,6.45266,8.13701
CTNND1,86.3586,85.8223,97.987,101.408,105.406,87.2824,96.6339,91.0729,100.884,129.498,108.378,82.4885,80.5611,94.2854,92.0208,90.7922,114.608,67.9077,83.2515,79.7906,85.0004,98.2533,100.822
VILL,0.886615,0.666805,1.45673,1.17808,2.41307,1.46243,0.967617,1.92682,2.08336,5.24971,3.03813,1.55372,1.41164,2.08161,1.80979,1.42645,2.53546,1.69508,1.10778,2.45306,2.05088,3.7121,3.38695
XYLT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CXXC11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEG10,113.077,116.513,153.288,124.015,143.6,146.623,126.87,128.217,113.834,113.03,102.383,166.72,172.873,177.055,170.283,186.267,211.81,179.666,209.77,182.595,187.308,175.774,188.26
DUX4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARID5A,1.31677,1.40264,1.43678,1.70383,1.95009,1.29567,1.33896,1.57913,1.25306,1.73529,1.69292,0.538063,0.705402,0.726057,0.848489,0.931503,0.800019,0.726728,0.762757,0.592474,0.919825,0.933307,1.0877
C6ORF165,0.0524273,0.0597379,0.0629673,0.0589597,0.0151552,0.131663,0.059232,0.116128,0.0108365,0.0806695,0.0369073,0.0297689,0.0511176,0.0545599,0.0132026,0.033993,0.0256767,0.0490659,0.0446183,0.0328357,0.0527793,0.0685065,0.144601
BIVM-ERCC5,1.29113,1.28595,1.93821,1.06645,1.05334,1.05594,1.49554,1.5779,1.42791,1.82203,1.53219,2.21616,1.31918,2.10719,2.25214,0.839059,1.66656,1.76995,1.82714,2.25232,1.94015,1.95611,1.53051
ELL2,13.3239,13.4451,13.2246,15.5929,12.2676,12.9512,16.4848,13.3837,15.6628,19.6524,15.9258,11.4675,10.6677,10.9472,11.551,12.1483,13.9654,8.33437,11.6929,11.3343,9.30727,11.4545,12.6443
C3orf56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMPCB,30.419,29.3721,31.4938,28.8761,27.8293,31.2244,31.7364,31.7872,28.9595,28.5485,27.8749,35.9978,34.5913,31.0851,32.256,35.2216,35.8899,38.8055,35.628,34.8351,34.4358,33.0224,37.2768
KLF4,4.59835,5.31071,4.53947,7.13074,7.7102,4.49355,6.0033,6.20663,7.10393,8.63166,7.88223,3.92818,3.71598,4.4805,4.76426,4.69438,5.9525,5.48406,4.31055,6.07641,6.85447,5.88881,9.01106
MMP14,2.18947,2.46863,2.40955,3.23817,2.84051,3.08828,2.08924,3.49898,3.3449,3.47087,4.11009,1.72097,1.76372,2.00335,2.24119,2.37206,2.22562,1.81174,1.29588,2.05681,2.38646,1.85979,2.9021
GPRC5C,7.40841,6.38235,7.31411,5.78236,8.02411,6.37221,6.39254,7.50217,5.67861,5.93916,4.80276,4.36908,2.98268,3.66015,3.61091,2.50803,3.57131,3.6732,3.23621,4.70498,3.27159,3.54329,4.32612
AL445989.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DERL1,27.3592,29.715,25.6489,30.7999,30.1322,26.8801,29.1803,29.9414,30.307,28.7193,29.4746,28.1185,28.2161,24.2099,27.6435,29.7898,28.321,26.3249,27.0941,31.8139,29.2192,24.6322,33.6661
RNF185,8.7875,8.99678,9.03065,9.13875,7.43037,8.42234,8.80581,8.84275,8.36218,8.62026,8.20161,8.46107,8.60539,8.06969,7.49478,7.7498,8.54184,10.0848,8.99994,8.98692,7.50651,7.35954,8.91176
MRAS,0.506217,0.317422,0.394339,0.270322,0.875198,0.33185,0.269102,0.411163,0.249344,0.388728,0.233271,0.18074,0.184353,0.151178,0.237229,0.106503,0.148563,0.198671,0.117316,0.247869,0.14652,0.179299,0.263181
PCDHGA6,0.069313,0.0623674,0.027769,0.0121786,0.044079,0.135235,0.0467001,0.0494471,0.0200987,0.0698783,0.0947121,0.0712272,0.056936,0.0704868,0.0283826,0.0130832,0.0350038,0.0568064,0.112344,0.0271066,0.0231196,0.043127,0.0460995
FOXR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC3R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME3,0.30304,0.0882645,0.18878,0.248026,0.448295,0.343702,0.731148,0.720015,0.30729,0.374045,0.737041,0.19405,0.143038,0.680552,0.440764,0.625724,0.627158,0.352374,0.288681,0.222908,0.391564,0.474492,0.957519
NARG2,3.43282,4.03699,4.24735,3.01393,2.94974,3.74513,4.61272,4.73183,2.99401,3.03248,3.73488,4.51079,4.16038,3.66985,3.40002,4.41078,4.16246,4.28327,4.48503,4.30613,2.69421,3.64577,3.39601
ST6GAL2,0.017863,0.00348854,0.0709499,0.0326863,0.0207909,0.0367632,0.0338821,0.0137974,0.0286676,0.062851,0.0205579,0.0270761,0.0477238,0.0319068,0.0231777,0.0729149,0.0586258,0.0143883,0.0148032,0.0314942,0.0221461,0.0315441,0.0325672
AL591025.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPG2,0.0407433,0.0170949,0.0153237,0.0199784,0.00363502,0.0161943,0.0057942,0.0262912,0.01301,0.0026479,0.00724412,0.0118944,0.00974363,0.0195403,0.00630896,0.00661639,0.00818654,0.0176275,0.00857131,0.0128623,0.0103366,0.00643992,0.0117837
BAX,71.1049,74.9187,72.2023,77.3589,77.0166,61.935,76.6344,68.4067,62.7239,78.5195,61.8531,69.4592,68.6587,68.0814,60.9802,57.2872,64.9821,58.8499,70.5858,63.0656,57.1721,62.5968,68.2987
ZNF217,12.5135,10.7055,13.0241,12.3948,13.3343,14.5233,11.2993,12.3914,13.5259,12.9539,11.6761,14.9094,12.6164,12.8991,16.2873,13.5716,15.2309,15.5966,12.864,13.9252,16.3601,14.0553,15.6055
OR7D4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP57,16.9145,19.6894,20.0706,20.7443,16.4628,21.2244,20.3364,20.6216,19.2202,20.5488,16.7877,16.9875,15.5146,16.5037,17.4043,16.9288,21.4534,19.8986,18.7086,17.9789,16.6828,17.531,17.024
APCDD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSDMC,0.278999,0.234932,0.21288,0.357867,0.227209,0.213995,0.381403,0.161025,0.444768,0.619651,0.561865,0.156575,0.176613,0.214981,0.114472,0.196236,0.24291,0.232204,0.197426,0.158706,0.195567,0.201757,0.232961
ATG4A,2.12927,1.64874,1.75741,1.08256,1.05908,1.50047,1.91827,2.39558,1.51319,2.10847,1.51157,2.49182,1.51318,1.35004,1.48082,1.6384,1.44875,1.36353,1.77917,1.67848,1.19874,1.43264,1.59502
OR10H5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZC3HC1,11.8145,11.9139,12.2731,10.0589,8.8424,10.1658,11.3038,9.86711,8.12278,9.76365,9.5052,11.6975,11.257,11.6124,9.52031,10.0085,12.1815,9.52107,12.0812,11.2145,10.1295,11.4749,10.8628
BPY2C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTX3,7.85242,8.47677,8.34536,7.19957,7.67914,7.71116,6.87287,9.11432,6.78834,7.09567,7.67098,8.20791,9.60724,8.23774,10.7847,6.35192,6.7814,12.3066,7.83135,8.83799,9.8476,11.0493,7.0854
LRRC37B,2.06319,2.33156,2.6938,2.34206,1.48042,3.10904,2.31232,2.05948,2.18605,2.26262,1.90373,2.38554,2.42985,2.81811,2.64161,1.82061,2.40958,3.12808,2.26942,2.14121,2.79185,2.20282,2.77289
FSCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERICH2,0.677796,0.343499,0.22808,0.345782,0,0.475909,0.410694,0.452656,0.485958,0.380665,0.0879707,0.280795,0.52467,0.316357,0.152446,0.316547,0.393267,0.418912,0.505167,0.682194,0.669975,0.232592,0.281616
MBD4,18.6445,18.7122,19.3463,19.2018,15.4502,20.7002,19.3393,20.0798,19.4625,20.6382,18.2909,22.4258,19.0871,20.2993,21.9791,22.5801,23.2726,28.2388,23.3119,22.1386,23.772,21.3874,22.6844
CNTNAP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008498.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFL1,11.5038,12.1216,10.8525,11.2104,8.96012,12.0443,9.26476,12.8915,11.0373,8.97277,12.4181,12.8104,11.9067,9.40161,11.4787,13.0507,11.4413,11.9935,10.4601,12.9581,10.6848,9.12123,13.7647
NAE1,49.1202,50.4558,51.0387,55.9789,41.3965,52.2153,50.2345,54.3122,55.5984,48.6719,51.6017,50.697,48.4111,41.433,49.7822,57.1996,57.8924,47.1914,45.0909,52.044,53.0332,44.6574,63.2907
AC061992.1,0,0,0,0,0.168974,0,0,0,0,0,0.353736,0.332146,0,0,0.151982,0,0,0,0,0.149367,0,0,0
TMEM132B,0,0,0,0,0,0,0,0,0.0116855,0,0,0,0,0,0,0,0,0,0,0.0144624,0,0,0
RP11-723O4.6,0.0287555,0.108716,0,0.0135068,0.164517,0,0,0,0.0103307,0.155683,0.0144564,0.00945892,0.0194072,0.198373,0.0953271,0.0879446,0.19217,0.268774,0.0103606,0.0127828,0.349926,0.0641895,0.0281573
PRR19,1.47113,1.58057,1.48325,1.56753,1.95788,1.54487,1.65251,1.39998,1.47958,1.71528,1.41997,1.65083,1.56921,1.76178,1.91223,1.23063,1.81292,1.10028,1.43729,1.05198,1.1061,1.78651,1.58639
RARS,55.4445,58.1697,68.2951,65.9849,59.7296,55.467,71.1181,57.6952,60.174,77.7161,63.4237,60.1209,59.6538,63.2109,59.2588,71.5389,82.9302,52.9424,69.972,58.6952,58.0522,69.2359,68.1133
PREP,22.3863,21.7215,24.9597,24.5311,21.6865,21.6997,25.1415,21.1587,25.0383,26.7546,21.18,23.4628,22.7263,23.7549,23.6435,23.9694,27.5915,22.2642,25.791,22.8904,23.4173,23.8293,25.7854
GOLGA6A,0.0173854,0,0.00852145,0,0,0.0209929,0,0,0.00900022,0.0293695,0,0,0.00675396,0.00301342,0.00218829,0.0275164,0,0.0162824,0,0.00890468,0,0.0178648,0
ZNF555,1.59548,0.897302,1.80165,1.14181,0.715478,0.999956,1.08151,1.6067,1.39429,0.971615,1.87272,1.28761,1.37054,0.845805,1.76952,0.984992,1.51541,1.73823,0.96999,1.10224,2.19418,1.18405,1.80344
S100A13,74.234,76.1512,58.6207,68.9399,45.4139,84.4081,53.1342,77.3598,64.6668,49.7865,62.1709,82.9517,73.6823,45.6091,67.9798,70.2092,46.796,78.1195,53.8054,68.9364,70.4931,52.895,77.3223
COL2A1,0.00633788,0,0.00620647,0.00577363,0,0.00655547,0.0117083,0.00759617,0.0105099,0.0133421,0,0,0,0.0054721,0.00638072,0,0.0103133,0.00986638,0.00432944,0.0107961,0.00522106,0.00651216,0.00952929
LSM1,23.4421,23.2868,17.9695,24.9784,16.0092,17.9359,17.2522,19.6166,21.1217,19.7124,20.8583,22.1862,22.3193,14.9368,20.3106,22.2335,18.3212,17.7347,18.04,19.6671,20.4368,16.6183,23.9873
ZNF880,1.28119,1.1735,1.60986,1.30685,0.577911,1.29354,0.952649,1.11707,0.895132,1.34643,1.15518,1.09754,0.542756,0.47916,0.417054,0.544997,0.9337,0.538148,0.943844,0.607021,0.548471,0.779687,0.483289
C9orf91,5.27827,6.25716,5.97835,7.07871,7.3487,5.23266,6.40366,6.00503,6.15263,6.4355,5.80635,5.40715,5.9888,5.1189,5.39759,5.50098,6.00387,6.06736,6.03789,5.36156,5.27009,5.95739,5.99671
IMPA2,27.5618,26.4272,31.7356,24.8355,33.7328,27.3687,28.98,29.192,23.8375,25.5446,20.9236,36.5688,36.8795,35.102,33.415,31.1942,34.9713,43.2207,39.8739,38.6244,34.4947,34.225,37.3559
AC004466.1,0.0930062,0.0564469,0.0920909,0.141599,0.106954,0.0645686,0.0284633,0.185947,0,0.1308,0.179869,0.116817,0.0240554,0.129395,0.0312737,0.0326627,0,0.202512,0.168269,0.0946778,0.076091,0.127517,0.0697662
LPPR3,0.0125065,0,0,0,0,0,0,0,0,0,0,0,0.0194338,0,0,0,0,0,0,0,0,0.0128569,0
TTPAL,10.0448,9.34046,10.8629,9.10038,10.1163,8.98222,10.8762,8.75646,9.85217,11.5734,8.80829,9.39483,8.70166,9.60563,8.71057,8.43889,10.6147,6.90673,9.8697,8.84005,8.05206,9.06774,9.22396
SSX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489133,0,0,0,0,0
RTF1,13.83,16.3551,18.7369,16.7429,16.527,16.2954,16.0912,16.8859,13.706,15.8151,15.9686,14.0955,15.7855,16.6318,14.3384,15.5857,19.0953,14.2551,17.8596,15.9789,13.5085,15.4493,16.382
SLC22A18AS,1.28835,1.08994,0.966016,1.53646,2.75019,1.42249,1.68423,1.84656,1.91582,2.28799,1.47279,2.22266,1.57411,1.6482,3.11844,2.06118,2.02361,2.15359,1.52185,1.65371,1.38667,2.25858,2.26367
ZCCHC17,42.857,44.3197,44.8833,45.3086,35.3353,43.2841,42.0561,47.7026,36.9201,37.9423,42.5428,39.5625,38.1478,34.0411,40.6108,42.044,42.0338,34.6518,36.6363,34.8931,34.5722,33.6683,38.9264
CCDC7,0.461341,0.450243,0.619928,0.367092,0.647056,0.476493,0.385498,0.479138,0.575274,0.298326,0.327078,0.612492,0.417871,0.534973,0.430675,0.422321,0.477422,0.750376,0.457694,0.501518,0.429334,0.450893,0.385155
