Gene_ID,SUM149_KDM5A.KO_C70_rep1,SUM149_KDM5A.KO_C70_rep2,SUM149_KDM5A.KO_DMSO_rep1,SUM149_KDM5A.KO_DMSO_rep2,SUM149_KDM5B.KO_C70_rep1,SUM149_KDM5B.KO_C70_rep2,SUM149_KDM5B.KO_DMSO_rep1,SUM149_KDM5B.KO_DMSO_rep2,SUM149_ROSA26.KO_C70_rep1,SUM149_ROSA26.KO_C70_rep2,SUM149_ROSA26.KO_DMSO_rep1,SUM149_ROSA26.KO_DMSO_rep2,SUM149_ZBTB7A.KO_C70_rep1,SUM149_ZBTB7A.KO_C70_rep2,SUM149_ZBTB7A.KO_DMSO_rep1,SUM149_ZBTB7A.KO_DMSO_rep2
FITM1,0.0477957,0.057157,0,0,3.01E-25,0,0,0,0.0547936,0,0.0363843,0,0,0,0,0.0624366
RHOF,31.1208,33.9769,37.3942,27.0463,30.1404,30.9734,34.2893,32.8107,30.2034,29.3989,32.1958,29.7522,25.9748,30,29.8476,29.9952
CYP17A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLEC1,0.0100807,0.00869308,0.0127278,0,0.0114214,0.00573361,0.0132325,0.0244799,0.0057457,0.0178264,0.0165767,0.00489661,0.00587774,0.0319302,0,0.00544886
NCAN,0.0129175,0.0131335,0.0168971,0.00819912,0.0302352,0,0,0,0.0385517,0.121131,0.0291651,0.0129857,0.0100427,0.0423399,0.00496168,0
TLCD2,0.177629,0.182332,0.106889,0.139523,0.0631029,0.526976,0.391722,0.153343,0.365949,0.298711,0.325144,0.204524,0.124708,0.537361,0.331062,0.346395
PDGFB,2.954,2.97041,1.92052,1.86072,2.98141,2.56371,2.17006,2.09309,3.06529,3.08756,2.64362,2.17568,4.22742,4.34841,2.85598,2.79651
METTL17,21.8118,22.4196,26.8663,24.2629,18.7648,20.3524,22.3082,22.0398,19.1407,19.1984,20.2882,21.1901,17.2899,18.6137,20.16,20.1536
BBS12,0.829016,0.960276,1.10391,1.21471,0.894537,0.87553,1.18988,1.09864,0.643747,0.674666,0.8445,0.737593,0.905694,0.945371,1.07914,1.24933
RARG,22.9926,26.3096,34.8221,28.3522,21.409,20.4599,35.0877,32.6987,19.2693,20.429,29.7077,30.932,18.4374,19.3066,32.8358,31.7514
WDR77,34.8564,36.5711,35.757,30.5475,35.4038,38.1321,35.0394,34.3699,35.3684,35.2907,33.6604,33.9768,35.0216,38.7562,35.5346,36.1025
MED12L,0.287675,0.386649,0.633764,0.647596,0.380864,0.327274,0.511651,0.376022,0.441197,0.401733,0.572461,0.370669,0.778021,0.862411,1.19744,0.945782
ABI1,13.6082,15.3784,12.1899,15.9047,14.3572,15.8906,12.5011,12.6666,14.3742,13.8063,12.453,12.4145,13.3647,14.8319,11.7667,12.6797
TTC7B,0.929559,0.97913,1.55846,1.41173,0.977105,1.08148,1.72345,1.54411,1.59446,1.31397,1.99635,2.09789,1.57357,1.80675,2.79032,2.55587
C10orf131,0.0265908,0.054431,0.119625,0.0517569,0.141786,0.0715917,0,0.0381968,0.060797,0.03717,0.103938,0.0611315,0.155433,0.0667832,0.531072,0.170929
TNFRSF25,0.177095,0.10013,0.160198,0.11843,0.156427,0.415243,0.23469,0.0922338,0.197107,0.160475,0.143965,0.118183,0.518466,0.695192,0.584939,0.207567
CA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARBI1,2.72229,2.77491,3.28209,1.95254,3.13175,2.977,3.97677,3.16308,3.53474,2.75911,2.70095,2.88778,2.64495,2.74711,3.33534,3.43002
HAUS6,48.5036,47.239,51.7483,58.3965,45.8192,50.3484,51.8533,49.6169,43.2453,44.0466,42.9218,45.1602,44.491,49.3556,48.1558,49.0175
IMP3,22.6323,23.817,27.2373,23.102,21.7651,20.471,23.6037,24.1876,21.1406,19.0434,22.059,21.3283,19.6342,20.4548,21.5783,23.0711
FAM200B,8.62017,8.77598,8.77123,9.96431,10.0878,9.17861,8.23906,9.08732,8.25533,7.52905,8.77718,8.9226,7.35527,7.6157,7.83517,8.50848
C8orf87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL33,0.0110407,0.0337294,0.461019,0.972594,0.099963,0.0741015,0.836718,0.36408,0.0879603,0.0153659,1.00143,0.605251,0,0.188332,1.59375,1.28705
ALOX12,0,0,0,0,0,0,0,0,0.0142871,0,0,0,0,0,0,0
ABCA13,0.0624274,0.107739,0.018592,0.0118746,0.19625,0.066994,0.0289727,0.05361,0.130094,0.0261307,0.148503,0.0286268,0.0882064,0.0156175,0.133635,0.0472155
ATG12,10.9034,11.0505,10.2611,13.9166,10.7227,12.4613,10.925,11.3138,10.9234,10.3088,10.742,9.03686,10.0492,9.44692,10.3065,10.3573
NAGLU,2.68202,2.44808,2.90438,2.28898,2.00227,2.27003,2.06266,2.32172,2.92022,2.56667,2.36253,2.75036,2.13649,2.13472,2.06284,2.39417
FAM149B1,1.74924,2.38199,2.07787,1.76026,1.88861,2.62053,2.30238,2.38153,2.18671,2.63922,2.32727,2.1466,2.26617,1.82456,2.25966,1.64763
MSX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GABRR2,0.0190926,0.0584928,0.0285533,0.0368923,0.0509358,0,0.0297879,0.0547863,0.065427,0.0799109,0.0248054,0.0219152,0,0.0717133,0.0442394,0.061995
UBE2R2,11.0166,10.6102,10.3848,10.0595,11.3944,12.3987,11.1879,9.56702,11.038,11.1056,10.0263,10.4936,10.0783,10.2764,10.6975,10.5712
TP53TG3D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMC7,1.32526,1.22644,0.966069,0.966263,1.15361,1.58845,1.0077,1.21007,1.21983,1.17918,0.82068,0.916967,0.993408,1.33858,0.591483,0.611516
ARID3C,0,0,0.0340043,0,0.040369,0,0,0,0.0518912,0.0317068,0,0,0,0,0,0.0491576
RBM47,12.5297,13.0339,15.1729,16.5583,12.2149,14.716,16.1511,14.4854,12.9772,12.727,14.32,14.8549,14.4635,15.6234,15.3184,15.1832
MUC5AC,0,0.0166071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IARS,73.4351,79.1908,90.5928,104.719,77.1865,89.067,93.488,81.2121,85.4125,82.0552,89.471,88.9102,77.6201,84.3439,94.6307,92.1856
CEP72,1.58323,1.40258,1.22604,1.20606,1.29227,2.09287,1.40835,1.28133,1.25488,1.58158,1.46859,1.42487,1.38754,1.71863,1.67629,1.28106
KLRB1,0,0,0,0,0,0,0,0,0,0,0.0572475,0,0,0,0,0
PEX6,3.70953,3.66206,4.61875,3.58927,3.03875,3.61022,4.57418,3.78302,3.812,4.073,4.5336,4.06941,3.217,3.62694,4.55248,3.84792
RINL,0.754253,1.36779,0.397652,0.419514,0.625153,0.630934,0.905882,0.552193,0.561334,0.915894,0.743558,0.914806,1.11178,0.858451,1.19288,1.0321
DYRK3,1.92781,2.23563,2.98607,2.25395,1.83752,1.83393,2.03824,2.41199,1.85477,2.05151,1.86979,2.38885,1.37856,1.54781,2.46431,1.85075
RP11-171N4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UQCR11,32.4296,35.2188,34.5239,25.2966,30.9253,28.7621,31.4263,32.7523,30.2864,28.2172,28.5998,26.9193,28.0589,28.5509,31.2041,29.7714
TRPM3,0.00660511,0.012139,0.008996,0.0229653,0.0107587,0.0247974,0.00931926,0,0.01376,0.0248876,0.0312248,0.00691957,0.00698919,0,0.00696911,0.0199987
OR2T12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTOP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRPS26,35.3818,37.454,43.5629,38.9506,33.5968,35.5239,38.7178,37.8186,34.146,35.1757,36.3654,36.2751,31.6834,33.3527,36.8077,35.6828
NEURL,0.183627,0.100486,0.426731,0.121419,0.195967,0.364485,0.181664,0.229137,0.287546,0.536546,0.242078,0.335761,2.13751,3.19462,1.76286,2.1102
PLAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATF3,3.01023,3.78444,1.21099,0.648427,2.9206,3.14892,1.08824,1.8174,3.70132,3.60567,1.70472,2.18759,4.46642,4.49705,1.22316,1.8793
SDHB,60.2143,67.4932,73.2582,67.5743,62.3918,62.8678,69.4982,75.0483,60.8198,58.1543,65.7115,66.0616,54.106,57.8177,65.378,64.4641
SNTB1,0.0537556,0.0783735,0.272267,0.34848,0.143521,0.189809,0.449374,0.278877,0.163504,0.144198,0.568918,0.594837,0.241935,0.129076,0.401296,0.294518
CEACAM8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RICTOR,5.6615,5.73584,5.70039,7.9236,5.53589,6.99132,6.05995,5.04014,5.43466,5.651,4.79537,4.83558,5.10036,5.25375,4.69344,4.56994
ZER1,4.53234,4.48179,6.21673,4.92387,4.21713,4.45378,6.23413,5.86603,4.50991,4.78399,5.18422,5.34306,4.39039,4.46779,6.21606,5.68185
ASAP3,7.74699,8.30995,9.6217,8.66485,4.90842,6.03079,9.4917,8.35798,6.92328,7.06456,9.04436,8.24679,6.07438,6.91825,9.068,9.34177
MT-ND5,1279.71,1154.82,1018.26,912.965,1138.71,1093.68,831.564,1011.64,1494.12,1444.19,1276.52,1388.04,1415.33,1190.51,1003.92,1003.21
GGTLC2,0.122619,0,0.0489524,0,0.072479,0.0436673,0,0,0.140824,0,0,0,0.0719272,0.0410865,0,0
CDK18,3.92593,4.23463,4.74522,3.52307,3.8081,3.76178,4.65663,3.43213,5.03721,4.97637,4.38113,4.11537,4.05235,4.29182,3.86112,3.37665
PDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST3GAL2,1.23888,1.43256,1.53545,1.39243,1.25915,1.02033,1.93789,1.73259,1.38441,1.21496,1.87795,1.46908,2.62678,2.79652,3.29313,3.22735
ZNF827,3.64004,4.07479,3.89257,3.39464,4.08591,4.18145,4.14456,3.67167,3.83424,4.17097,3.53335,3.444,4.26703,4.26796,4.00899,3.97372
FAM90A1,0.280282,0.154466,0.338854,0.246196,0.202001,0.271005,0.308026,0.317498,0.400088,0.351334,0.44199,0.391284,0.324031,0.173254,0.23383,0.218344
FNTB,2.74328,3.25569,4.33472,3.00446,2.7456,3.02998,3.59426,3.39487,3.18177,3.25553,3.34667,3.86377,3.05274,2.66314,3.63427,3.83066
KRTAP10-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASD1,2.48936,2.58273,2.54074,3.36085,2.47608,2.62859,2.67088,2.69299,2.06364,2.41659,2.53924,2.7282,2.84612,2.94028,2.97925,3.44955
ACTR6,46.1559,44.4739,50.654,69.5289,38.4441,44.5814,53.4238,51.6685,40.4675,42.1902,42.6405,43.9344,33.163,36.4046,41.365,41.6684
GCNT7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMC1,52.5466,59.7683,61.4844,62.4977,60.2893,53.2442,71.4796,65.189,51.3047,59.6947,59.2155,53.7416,34.0616,41.674,57.377,47.0001
CRYGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM129C,0.0167796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCTD11,5.25991,4.99855,4.86109,3.19358,4.47004,4.61628,4.89882,4.72455,4.70926,5.00925,5.22183,4.5795,5.2145,5.3473,4.99554,5.54539
PROSER2,7.44101,8.24528,9.22924,8.87819,7.42887,8.3453,8.99087,8.86638,9.71926,8.63625,9.863,9.81216,8.59064,8.91338,9.57964,9.91171
KCNK17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP20-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SENP3,48.2489,49.9715,51.325,44.5744,43.6908,43.153,48.3053,48.6978,47.1989,47.9545,48.5205,48.5212,44.1282,47.7507,49.8384,49.8616
LEPROT,10.6073,10.6584,10.9543,11.7336,9.75519,10.7717,10.7357,11.1944,10.4262,9.89106,9.81389,10.3611,8.79972,8.95625,9.67033,9.98707
ZBTB40,3.53406,3.71215,4.03262,4.07018,3.35759,3.79626,4.14086,4.20516,3.46197,3.5442,4.17911,3.76793,3.99009,4.25818,4.25806,4.12704
GATS,0.0425286,0.0649537,0.04756,0.0407491,0.0189172,0.0570739,0.0330109,0.0304574,0.0606449,0.0295912,0.0137676,0.0365551,0.0744586,0.0795737,0.122807,0.0574932
OR2B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPS1,38.9954,45.0549,49.8326,37.1182,35.4354,36.2121,39.0805,40.4526,38.6498,38.5383,42.8694,39.7275,35.5922,41.2613,43.299,43.2211
C6orf223,1.91893,1.82758,1.87514,1.36348,1.54711,1.76023,1.80886,1.41088,2.26539,2.58585,2.21946,1.82185,1.47292,1.19064,1.26874,1.16214
TSHB,0,0,0,0,0,0,0,0,0,0.329081,0,0,0,0,0,0
MYC,88.0517,95.8975,107.431,94.9913,87.0576,89.4905,101.045,101.628,81.089,88.8238,82.5958,89.6919,85.552,96.1292,105.494,105.369
KLHL9,12.5653,11.7754,13.7058,18.7569,12.2596,14.6848,14.5291,13.766,13.0638,13.4007,14.3695,14.0653,14.6128,14.1289,16.5479,15.5956
CACNA1H,0,0,0,0,0,0,0.0325361,0,0,0,0,0,0,0,0,0
RP1-66C13.4,0,3.14E-68,0,0,0,0,1.11E-18,2.95E-21,6.14E-25,0,0,0,0,2.87E-11,9.85E-39,7.06E-07
SPANXN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRX6,0,0.00933697,0.0136727,0.0351126,0,0.0246175,0,0,0.010464,0.0255237,0.0118733,0.0105115,0,0,0,0
HVCN1,0.0762261,0.0941907,0.0409565,0,0,0.0367624,0.0428034,0,0.0217636,0.0381761,0,0.0627819,0.115786,0.116208,0.0441484,0
OR4M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC35E3,1.5137,1.30762,1.75781,2.1358,1.33228,1.4297,1.75937,1.87652,1.29582,1.17115,1.7162,1.52364,1.48127,1.71161,2.02032,1.99016
SHH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP43,4.45769,4.77745,3.54219,3.21424,4.74682,5.50444,3.01519,3.30281,5.2002,4.58165,3.61496,3.43459,4.48835,4.92664,2.82796,3.39093
TTC37,12.5372,12.2134,14.2443,16.25,11.8285,15.0724,18.5072,15.4713,12.2636,11.1699,13.7782,14.8694,10.2767,11.0111,13.3203,13.3901
LTA,0.0224923,0,0,0,0.0199927,0,0,0.0968623,0,0.0314038,0.0877837,0.077509,0.0980401,0.0525605,0.0521708,0.0243451
C9orf53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL162424.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUNX3,25.0609,26.11,23.876,19.6773,26.3763,24.6492,26.9983,27.0947,27.5589,26.9253,26.4551,27.0274,27.9987,28.9481,27.8715,26.8077
ARSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOXL1,3.03609,3.42396,4.37797,4.6064,2.81841,2.98916,3.95737,4.11664,2.80763,3.02417,3.88675,3.90677,2.22273,2.36233,3.54878,3.79658
CDKN2C,2.10605,2.21335,3.00432,2.74406,1.75489,1.89465,2.86741,2.61605,2.19188,2.19807,2.63478,3.32648,1.17024,0.969644,1.64553,2.49033
SDCBP,47.8832,51.6927,54.3644,71.6975,47.3602,53.7375,59.1009,52.8257,43.1326,44.0508,47.2942,47.0719,53.3511,53.9588,54.9504,56.4789
SEL1L2,0,0,0,0,0,0,0,0,0,0,0.0208489,0,0,0,0,0
ZNF497,0.261854,0.283858,0.501157,0.329457,0.219043,0.176119,0.368913,0.509109,0.308824,0.332111,0.652449,0.522107,0.394523,0.184061,0.435568,0.366044
CENPN,54.1309,58.6757,50.4422,55.3537,57.4255,59.5932,51.5696,51.1498,52.5576,48.0842,45.6374,46.2378,44.1462,47.4947,47.3262,43.6103
DERA,46.8038,50.0102,51.936,60.9122,52.438,56.761,55.5954,56.1889,50.6599,53.9563,49.3087,49.5019,46.9885,56.2771,52.7047,51.1523
ARNT,4.94432,5.52682,6.67949,6.30191,4.81857,5.36774,6.91705,6.06465,5.63162,5.06571,5.79301,5.88616,5.03626,4.6878,5.50169,5.88456
IVNS1ABP,29.9953,30.5233,33.2412,36.7258,27.8568,31.5128,32.1373,29.4476,30.8536,32.0904,30.314,28.0978,27.2587,29.2212,30.2718,31.4729
TRUB2,21.1591,22.7414,24.2299,22.6225,18.4597,17.9507,23.5172,22.1059,17.1395,17.2694,21.9213,21.1507,18.5379,20.1455,23.0203,23.6549
GDPD3,3.58547,2.91352,2.58162,3.29892,2.329,2.19521,2.26411,2.63952,2.49493,2.11829,1.97369,1.6369,2.76658,3.19883,3.03558,2.43811
MAFA,0,0.0128236,0.0187803,0,0.0111957,0,0,0,0.0143621,0.0175248,0.032621,0.01443,0.102856,0.0314257,0.0145476,0
TGM4,1.00139,0.787703,0.877627,0.852836,1.02576,1.0498,1.01765,0.963859,1.06526,1.06497,0.860095,0.780846,1.22747,1.00675,0.728438,0.564163
CDHR4,0,0.0575249,0,0.0673219,0.0249587,0.046276,0,0,0,0.0392801,0.0153622,0,0.0656847,0,0.0652731,0
P2RY13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMF1,12.415,13.6913,14.7364,12.0864,13.191,12.1208,14.129,13.6106,13.3323,12.2279,15.3322,13.1059,11.4542,15.7576,17.6622,14.4577
COBL,6.82211,7.04586,8.10516,7.35564,6.82077,7.57706,8.16378,8.11177,7.16938,7.24521,7.99933,7.36073,7.31635,7.85771,8.07791,7.79364
SHANK1,0,0,0,0,0,0,0,0,0,0.00591054,0,0,0,0,0,0
RELB,3.83036,3.66408,2.47677,2.1687,3.9289,3.88331,2.50898,2.75011,5.20987,4.13236,3.16233,2.90974,5.02281,5.10774,3.14048,2.99282
SREBF2,25.1555,26.2312,29.41,24.5898,22.717,23.4198,28.3096,27.0207,27.9045,26.7048,28.6615,28.2094,23.6643,25.0003,27.4414,26.5752
CACNG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTX1,0,0,0,0.0157525,0,0,0,0,0,0,0,0,0,0,0,0
GPS2,32.9913,36.7337,27.1839,23.6567,31.9775,32.8351,27.7246,27.0365,29.5135,30.707,28.2629,29.3273,34.0788,31.6157,28.658,30.1701
LAMB4,0,0,0,0,0,0,0,0,0,0,0.00681832,0.00604105,0,0,0.0121675,0
OR8K3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA2026,7.87303,8.00368,8.52681,10.2588,8.5428,8.39221,9.29335,8.61528,8.1454,7.95573,7.9566,9.01547,6.53278,6.36433,7.54644,7.45533
RP11-1396O13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTDR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46133,0,0
C1orf61,3.96743,2.47336,3.88222,3.32305,3.2463,4.24199,5.23272,3.10252,4.92914,2.72575,4.71696,1.73559,3.58678,4.26571,3.27304,1.44916
MYPN,1.52012,1.52976,1.55086,1.72323,1.44945,1.68958,1.93061,1.67608,1.68654,1.37697,1.2983,1.75084,1.17857,1.41033,1.68618,1.34611
GBP3,6.27609,6.1864,6.60754,6.70938,7.22538,7.43132,8.17802,7.77134,6.14881,5.86738,6.99566,6.45434,5.72089,6.39489,6.04799,7.27038
C8orf44-SGK3,0.181908,0.317074,0.130998,0.431867,0.153066,0.223138,0.244204,0.234015,8.36E-39,0.238181,0.176537,0.12924,0.165551,0.147531,0.229846,0.250084
PCNP,89.6967,93.262,85.1461,126.274,90.0543,100.141,95.6132,92.2228,80.8992,84.7341,85.4979,89.2828,82.8587,82.198,88.7065,91.1241
AC073569.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD49,8.61811,6.94188,8.37602,7.83109,8.77192,8.56846,10.912,8.25657,8.36534,8.89115,8.25849,8.48936,7.98091,6.80058,8.66771,8.28927
RBM41,7.28867,7.58175,7.79015,8.14325,7.56812,8.79881,8.05088,7.58088,6.71636,7.08605,7.09482,7.9093,7.54916,7.29877,7.38414,7.69394
FXYD7,0.227342,0.0587493,0,0.137592,0.0601782,0,0.181321,0.0982655,0.0652351,0,0.149861,0,0.133296,0.144579,0.200068,0
GTPBP3,8.98963,9.42265,11.0389,9.17654,8.23829,8.62705,10.8134,9.60516,10.0045,9.2459,9.87342,9.62368,9.3908,10.1499,11.5818,10.5295
GKAP1,2.47546,2.77766,3.99336,4.01614,2.19538,1.90505,3.9368,4.00569,1.98632,2.6847,3.54157,3.79075,1.83468,2.32877,2.95765,3.47024
MAFF,14.1884,13.5526,12.9207,9.37859,14.143,13.7272,14.7509,12.4253,15.8367,16.8201,14.1845,12.4352,15.3272,17.2164,12.7718,12.7539
AC136297.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSPA13,6.82729,6.52015,7.56514,7.93824,5.8605,6.46724,6.63775,7.05303,5.36131,6.22585,5.86417,6.67645,4.22317,4.76724,6.29809,6.19133
ASB3,0.131033,0.14594,1.72E-08,4.29E-08,0.0564378,0.075895,2.83E-08,3.38E-08,1.21E-08,9.78E-09,0.0859522,2.41E-08,0.0695182,0.235322,3.45E-08,1.64E-08
PFDN5,108.802,120.48,121.833,116.019,101.049,92.3421,110.735,123.592,84.0273,91.7961,97.753,102.279,87.7952,88.1025,105.635,109.542
DHCR24,131.416,131.143,137.431,109.512,117.963,116.315,123.212,134.001,117.707,113.399,116.155,118.194,107.382,114.109,119.654,116.381
ACAP1,0.772194,1.33365,0.47923,0.918199,1.82616,0.42459,1.0427,0.711867,0.37173,0.891046,1.23367,0,0.987375,1.16803,0.915225,0.325116
GPR52,0.0215766,0.0220475,0.032298,0,0,0,0,0,0,0,0,0,0.0252118,0.0270379,0,0
C14orf144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-872D17.8,0.204918,0.588241,2.55E-111,0.0518001,0.595541,0.08802,0.579054,0.132218,0.412571,0.805058,9.99E-232,0.458085,0.320978,0,0.659116,0.444275
AL354808.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH2D3C,0.0422344,0.0430074,0.0758833,0,0.0643988,0.0988464,0.0142503,0,0.0524487,0.0458342,0.0142077,0,0.0896547,0.0526873,0.0575358,0.00993492
EMG1,78.9088,77.5688,79.2826,69.8357,71.6646,69.7681,67.0649,77.8093,69.3199,66.3515,65.1703,65.0349,62.2467,67.8481,64.6215,66.6375
MEI4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPHK1,13.3673,15.3644,11.22,7.79701,14.3782,14.8053,10.8298,11.7765,13.5394,14.7207,10.2664,9.63079,9.92432,13.6383,8.36806,8.55456
RAPH1,7.29256,7.49066,10.0878,11.9332,7.08719,8.62675,10.5843,9.40251,7.05421,7.28958,9.89601,8.67813,8.25476,7.73935,10.3022,9.79925
IQCD,0.317612,0.467971,0.162879,0.322143,0.287075,0.294089,0.231258,0.347596,0.408181,0.249765,0.273811,0.351812,0.262791,0.580603,0.454545,0.499179
CABIN1,3.6957,4.66448,5.18579,3.67143,3.85473,4.37221,4.68561,4.14942,5.48831,5.28625,4.94342,5.32941,3.75926,3.98057,5.23442,4.99086
LTC4S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0741488,0
ERC1,9.52319,10.2013,10.555,10.3413,10.6154,10.6749,11.9439,10.339,11.449,11.914,11.254,11.2444,10.0532,11.3736,10.5467,10.7308
POLR3F,21.8678,22.3701,18.9984,22.0193,19.2732,21.021,18.2058,19.3711,18.2288,17.3725,16.6576,18.0352,17.8532,20.5721,18.1951,18.1497
TFAP2D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007377.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100A14,292.942,300.053,209.547,167.734,272.758,251.797,239.992,207.557,264.847,269.995,202.943,192.329,217.695,225.764,184.068,179.292
EME2,0.723045,0.431903,0.963854,0.260668,0.710455,0.68497,0.784416,0.641268,0.577927,0.740593,0.581609,0.515458,0.563536,0.571728,0.587525,0.50365
C19orf77,1.13097,1.41559,0.581602,0.429456,0.847725,1.27709,0.861104,0.186545,0.71118,0.562627,0.366627,0.847332,1.79505,1.25593,0.520171,0.5556
EVX1,0,0,0,0,0,0.0283663,0,0,0,0,0,0,0.0246451,0,0,0
MAP6,0.323969,0.240866,0.48557,0.328118,0.387774,0.304694,0.410203,0.319328,0.376374,0.568194,0.392475,0.295081,0.569101,0.628133,0.521254,0.529175
RANBP6,15.6001,15.1095,17.4335,22.6813,15.2407,17.5606,16.8559,17.0046,14.6671,14.4429,15.0352,15.9617,13.6197,13.9568,15.2522,14.4302
RHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRIK1,0,0,0.013614,0,0,0,0,0,0,0,0,0,0,0,0,0
WDR83OS,36.0358,41.226,48.1343,38.4893,36.6257,33.0575,41.8662,37.8897,35.0759,36.8982,43.6627,41.4171,31.3855,33.27,42.2071,39.4291
CUTC,7.90537,7.89499,9.54867,7.94105,7.28933,8.38122,7.43183,8.90916,8.30047,7.94516,7.57585,6.88046,7.98305,7.76854,8.28812,8.82584
CCDC171,1.27528,1.43637,1.44024,2.06139,1.36075,1.69885,1.80094,1.67095,1.2939,1.3946,1.60013,1.95898,0.926875,1.22722,1.4854,1.55585
ANKS3,2.4123,2.50314,2.73716,3.02134,2.15656,1.99385,1.87307,2.73309,1.68403,1.79774,3.41573,2.60605,1.97452,2.05773,2.05126,3.00515
PKDREJ,0.00713115,0,0.00530322,0,0.00317352,0.00955703,0.00551259,0,0,0,0,0,0,0,0,0.00385425
CLMP,20.8275,20.88,17.7661,18.5942,19.3936,21.1155,20.5837,20.7338,20.1181,18.4794,17.0661,17.7266,15.4066,16.2586,15.4164,15.6221
PPHLN1,49.1521,52.6904,54.6783,61.6804,49.8739,52.3385,53.598,51.3723,47.9393,47.7868,50.754,50.1815,41.5947,46.3849,45.5772,46.7265
LGI4,0.0110903,0.0225904,0,0,0.0570791,0.0276299,0,0.0429512,0.0126525,0.0308742,0.0143652,0.0114555,0.0129453,0.0756383,0.0594552,0.0453991
FMO5,0.0182409,0.256085,0.0865732,0.042496,0.111143,0,0.112575,0.101969,0.0409913,0,0.0287081,0.0718323,0.0852288,0,0.0159088,0.0268698
ITPKB,2.85596,3.28969,4.68974,3.59697,2.9411,3.16568,4.8465,4.649,3.41532,3.32822,4.44025,4.03866,3.34166,3.5217,4.93864,4.4457
GAGE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAAR5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIPF1,8.24336,7.73036,7.73319,6.93994,6.68237,7.44539,7.06063,8.55881,7.78795,6.91143,8.17524,6.70993,5.64733,7.58214,6.33361,7.05074
NR5A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS5,318.102,342.744,335.032,312.275,303.055,281.099,291.221,334.767,271.437,276.473,281.727,288.269,259.716,308.489,309.694,298.488
ALOX5AP,0.0813265,0.250861,0.061286,0.481556,0.43322,0.384228,0.449732,0.175681,0.326009,0.342405,0.159819,0.328058,0.238028,0.256837,0.427053,0.264421
SEC23A,18.3719,19.4351,22.971,27.912,18.7645,21.2623,26.1691,22.4028,19.6795,18.8376,23.1131,23.5441,20.6489,22.8926,27.0627,26.3424
C4orf21,4.83327,4.35654,5.1666,8.14681,4.18149,4.79383,5.68445,5.78964,4.54579,4.25168,5.85059,5.54345,3.9196,4.17242,5.24098,4.68726
SMCO4,4.6563,4.45812,4.71473,8.58406,4.71362,3.81325,5.17682,7.4132,5.96304,5.82595,7.94106,5.07588,6.07808,5.02527,6.41575,6.53707
