Gene_ID,SUM149_KDM5A.KO_C70_rep1,SUM149_KDM5A.KO_C70_rep2,SUM149_KDM5A.KO_DMSO_rep1,SUM149_KDM5A.KO_DMSO_rep2,SUM149_KDM5B.KO_C70_rep1,SUM149_KDM5B.KO_C70_rep2,SUM149_KDM5B.KO_DMSO_rep1,SUM149_KDM5B.KO_DMSO_rep2,SUM149_ROSA26.KO_C70_rep1,SUM149_ROSA26.KO_C70_rep2,SUM149_ROSA26.KO_DMSO_rep1,SUM149_ROSA26.KO_DMSO_rep2,SUM149_ZBTB7A.KO_C70_rep1,SUM149_ZBTB7A.KO_C70_rep2,SUM149_ZBTB7A.KO_DMSO_rep1,SUM149_ZBTB7A.KO_DMSO_rep2
C2CD2,7.82168,7.90197,8.23287,9.62366,7.61642,8.51222,9.23726,8.37365,7.38827,7.06395,7.43137,7.12912,7.50534,7.21354,7.42991,7.54856
REL,3.49366,3.52505,3.32492,4.13002,3.58571,3.8643,3.78609,3.74727,3.71474,4.01345,3.90054,3.3544,3.8791,3.97304,3.26891,3.33861
CWF19L2,6.12495,6.48598,7.11302,6.50184,5.94082,5.58178,5.68527,6.23926,5.40154,4.7831,5.15431,5.89314,5.60898,5.99491,5.81934,6.24443
C2orf91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLLU1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP000322.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563218
KRTAP2-2,0.0271912,0,0,0,0,0,0,0,0.0468279,0,0,0.0314192,0,0,0.0318788,0
AIF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTG1,2800.77,3223.7,2353.34,1932.96,2826.01,2467.08,2174.59,2337.97,2684.44,2605.05,2322.63,2432.31,2453.9,2868.23,2079.22,2042.18
DLG2,0.0108062,0,0.00804137,0,0.00480834,0,0,0,0.00615943,0,0,0,0.019488,0,0.0124595,0.00832486
HEMGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157123,0.0147
RP11-295K3.1,0.121555,0.0556834,0.0763751,0.103888,0.147801,0.104909,2.68E-10,8.79E-11,7.25E-12,0.127719,2.08E-12,0.269255,0.274161,0.0964325,0.00723584,0.152205
LAMTOR3,14.5429,13.4117,13.1705,17.3526,13.2552,13.8164,13.2845,14.6328,10.6904,11.0087,9.72021,12.0716,8.96293,11.2173,11.6101,13.5914
SCAF11,24.6534,26.908,26.2894,31.487,27.9563,29.3112,28.0267,26.2506,27.2025,27.0386,27.4288,28.696,26.2515,27.061,27.601,27.727
MS4A10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APAF1,4.23259,4.5703,4.89213,5.73471,3.96231,4.60194,5.52763,4.98421,4.43868,4.16663,4.70678,4.9603,3.49013,3.0823,3.96208,4.58852
C11orf70,0.614185,0.376565,1.09872,1.10592,0.672439,0.831575,0.544555,0.696272,0.777799,0.48951,0.544191,0.665888,0.576524,0.275288,1.00632,1.09857
HDX,1.09157,0.91212,1.30648,1.68879,1.22405,1.91951,1.04997,1.24717,1.4491,1.39897,1.55645,0.922482,2.14965,1.27423,1.62046,1.77996
RRM2B,4.3514,4.09733,5.55167,8.42495,3.9396,4.5569,6.58473,6.08431,4.1484,4.17567,5.82735,6.81773,3.76486,4.00632,5.78457,5.51948
